ICD-10-PCS CODE,CCS CATEGORY,ICD-10-PCS CODE DESCRIPTION,CCS CATEGORY DESCRIPTION,MULTI CCS LVL 1,MULTI CCS LVL 1 LABEL,MULTI CCS LVL 2,MULTI CCS LVL 2 LABEL
0DY80Z0,176,"Transplantation of Small Intestine, Allogen, Open Approach",Organ transplantation (other than bone marrow corneal or kidney),16,Miscellaneous diagnostic and therapeutic procedures,16.1,Other organ transplantation [176.]
0DY80Z1,176,"Transplantation of Small Intestine, Syngeneic, Open Approach",Organ transplantation (other than bone marrow corneal or kidney),16,Miscellaneous diagnostic and therapeutic procedures,16.1,Other organ transplantation [176.]
0DY80Z2,176,"Transplantation of Small Intestine, Zooplast, Open Approach",Organ transplantation (other than bone marrow corneal or kidney),16,Miscellaneous diagnostic and therapeutic procedures,16.1,Other organ transplantation [176.]
0DYE0Z0,176,"Transplantation of Large Intestine, Allogen, Open Approach",Organ transplantation (other than bone marrow corneal or kidney),16,Miscellaneous diagnostic and therapeutic procedures,16.1,Other organ transplantation [176.]
0DYE0Z1,176,"Transplantation of Large Intestine, Syngeneic, Open Approach",Organ transplantation (other than bone marrow corneal or kidney),16,Miscellaneous diagnostic and therapeutic procedures,16.1,Other organ transplantation [176.]
0DYE0Z2,176,"Transplantation of Large Intestine, Zooplast, Open Approach",Organ transplantation (other than bone marrow corneal or kidney),16,Miscellaneous diagnostic and therapeutic procedures,16.1,Other organ transplantation [176.]
0FY00Z0,176,"Transplantation of Liver, Allogeneic, Open Approach",Organ transplantation (other than bone marrow corneal or kidney),16,Miscellaneous diagnostic and therapeutic procedures,16.1,Other organ transplantation [176.]
0FY00Z1,176,"Transplantation of Liver, Syngeneic, Open Approach",Organ transplantation (other than bone marrow corneal or kidney),16,Miscellaneous diagnostic and therapeutic procedures,16.1,Other organ transplantation [176.]
0FY00Z2,176,"Transplantation of Liver, Zooplastic, Open Approach",Organ transplantation (other than bone marrow corneal or kidney),16,Miscellaneous diagnostic and therapeutic procedures,16.1,Other organ transplantation [176.]
0FYG0Z0,176,"Transplantation of Pancreas, Allogeneic, Open Approach",Organ transplantation (other than bone marrow corneal or kidney),16,Miscellaneous diagnostic and therapeutic procedures,16.1,Other organ transplantation [176.]
0FYG0Z1,176,"Transplantation of Pancreas, Syngeneic, Open Approach",Organ transplantation (other than bone marrow corneal or kidney),16,Miscellaneous diagnostic and therapeutic procedures,16.1,Other organ transplantation [176.]
0FYG0Z2,176,"Transplantation of Pancreas, Zooplastic, Open Approach",Organ transplantation (other than bone marrow corneal or kidney),16,Miscellaneous diagnostic and therapeutic procedures,16.1,Other organ transplantation [176.]
0UY00Z0,176,"Transplantation of Right Ovary, Allogeneic, Open Approach",Organ transplantation (other than bone marrow corneal or kidney),16,Miscellaneous diagnostic and therapeutic procedures,16.1,Other organ transplantation [176.]
0UY00Z1,176,"Transplantation of Right Ovary, Syngeneic, Open Approach",Organ transplantation (other than bone marrow corneal or kidney),16,Miscellaneous diagnostic and therapeutic procedures,16.1,Other organ transplantation [176.]
0UY00Z2,176,"Transplantation of Right Ovary, Zooplastic, Open Approach",Organ transplantation (other than bone marrow corneal or kidney),16,Miscellaneous diagnostic and therapeutic procedures,16.1,Other organ transplantation [176.]
0UY10Z0,176,"Transplantation of Left Ovary, Allogeneic, Open Approach",Organ transplantation (other than bone marrow corneal or kidney),16,Miscellaneous diagnostic and therapeutic procedures,16.1,Other organ transplantation [176.]
0UY10Z1,176,"Transplantation of Left Ovary, Syngeneic, Open Approach",Organ transplantation (other than bone marrow corneal or kidney),16,Miscellaneous diagnostic and therapeutic procedures,16.1,Other organ transplantation [176.]
0UY10Z2,176,"Transplantation of Left Ovary, Zooplastic, Open Approach",Organ transplantation (other than bone marrow corneal or kidney),16,Miscellaneous diagnostic and therapeutic procedures,16.1,Other organ transplantation [176.]
0UY90Z0,176,"Transplantation of Uterus, Allogeneic, Open Approach",Organ transplantation (other than bone marrow corneal or kidney),16,Miscellaneous diagnostic and therapeutic procedures,16.1,Other organ transplantation [176.]
0UY90Z1,176,"Transplantation of Uterus, Syngeneic, Open Approach",Organ transplantation (other than bone marrow corneal or kidney),16,Miscellaneous diagnostic and therapeutic procedures,16.1,Other organ transplantation [176.]
0UY90Z2,176,"Transplantation of Uterus, Zooplastic, Open Approach",Organ transplantation (other than bone marrow corneal or kidney),16,Miscellaneous diagnostic and therapeutic procedures,16.1,Other organ transplantation [176.]
0WY20Z0,176,"Transplantation of Face, Allogeneic, Open Approach",Organ transplantation (other than bone marrow corneal or kidney),16,Miscellaneous diagnostic and therapeutic procedures,16.1,Other organ transplantation [176.]
0WY20Z1,176,"Transplantation of Face, Syngeneic, Open Approach",Organ transplantation (other than bone marrow corneal or kidney),16,Miscellaneous diagnostic and therapeutic procedures,16.1,Other organ transplantation [176.]
0XYJ0Z0,176,"Transplantation of Right Hand, Allogeneic, Open Approach",Organ transplantation (other than bone marrow corneal or kidney),16,Miscellaneous diagnostic and therapeutic procedures,16.1,Other organ transplantation [176.]
0XYJ0Z1,176,"Transplantation of Right Hand, Syngeneic, Open Approach",Organ transplantation (other than bone marrow corneal or kidney),16,Miscellaneous diagnostic and therapeutic procedures,16.1,Other organ transplantation [176.]
0XYK0Z0,176,"Transplantation of Left Hand, Allogeneic, Open Approach",Organ transplantation (other than bone marrow corneal or kidney),16,Miscellaneous diagnostic and therapeutic procedures,16.1,Other organ transplantation [176.]
0XYK0Z1,176,"Transplantation of Left Hand, Syngeneic, Open Approach",Organ transplantation (other than bone marrow corneal or kidney),16,Miscellaneous diagnostic and therapeutic procedures,16.1,Other organ transplantation [176.]
3E030U0,176,"Introduce Autol Pancr Islet in Periph Vein, Open",Organ transplantation (other than bone marrow corneal or kidney),16,Miscellaneous diagnostic and therapeutic procedures,16.1,Other organ transplantation [176.]
3E030U1,176,"Introduce Nonaut Pancr Islet in Periph Vein, Open",Organ transplantation (other than bone marrow corneal or kidney),16,Miscellaneous diagnostic and therapeutic procedures,16.1,Other organ transplantation [176.]
3E033U0,176,"Introduce Autol Pancr Islet in Periph Vein, Perc",Organ transplantation (other than bone marrow corneal or kidney),16,Miscellaneous diagnostic and therapeutic procedures,16.1,Other organ transplantation [176.]
3E033U1,176,"Introduce Nonaut Pancr Islet in Periph Vein, Perc",Organ transplantation (other than bone marrow corneal or kidney),16,Miscellaneous diagnostic and therapeutic procedures,16.1,Other organ transplantation [176.]
3E0J3U0,176,"Introduce Autol Pancr Islet in Bil/Panc Tract, Perc",Organ transplantation (other than bone marrow corneal or kidney),16,Miscellaneous diagnostic and therapeutic procedures,16.1,Other organ transplantation [176.]
3E0J3U1,176,"Introduce Nonaut Pancr Islet in Bil/Panc Tract, Perc",Organ transplantation (other than bone marrow corneal or kidney),16,Miscellaneous diagnostic and therapeutic procedures,16.1,Other organ transplantation [176.]
3E0J7U0,176,"Introduce Autol Pancr Islet in Bil/Panc Tract, Via Opening",Organ transplantation (other than bone marrow corneal or kidney),16,Miscellaneous diagnostic and therapeutic procedures,16.1,Other organ transplantation [176.]
3E0J7U1,176,"Introduce Nonaut Pancr Islet in Bil/Panc Tract, Via Opening",Organ transplantation (other than bone marrow corneal or kidney),16,Miscellaneous diagnostic and therapeutic procedures,16.1,Other organ transplantation [176.]
3E0J8U0,176,"Introduction of Autol Pancr Islet into Bil/Panc Tract, Endo",Organ transplantation (other than bone marrow corneal or kidney),16,Miscellaneous diagnostic and therapeutic procedures,16.1,Other organ transplantation [176.]
3E0J8U1,176,"Introduction of Nonaut Pancr Islet into Bil/Panc Tract, Endo",Organ transplantation (other than bone marrow corneal or kidney),16,Miscellaneous diagnostic and therapeutic procedures,16.1,Other organ transplantation [176.]
