ICD-10-CM Code,ICD-10-CM Code Description,CCSR Category,CCSR Category Description,Default CCSR (Y/N/X),Rationale,Key-term
T470X2S,"Poisoning by histamine H2-receptor blockers, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T471X2S,"Poisoning by other antacids and anti-gastric-secretion drugs, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T472X2S,"Poisoning by stimulant laxatives, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T473X2S,"Poisoning by saline and osmotic laxatives, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T474X2S,"Poisoning by other laxatives, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T475X2S,"Poisoning by digestants, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T476X2S,"Poisoning by antidiarrheal drugs, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T477X2S,"Poisoning by emetics, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T478X2S,"Poisoning by other agents primarily affecting gastrointestinal system, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T4792XS,"Poisoning by unspecified agents primarily affecting the gastrointestinal system, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T480X2S,"Poisoning by oxytocic drugs, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T481X2S,"Poisoning by skeletal muscle relaxants [neuromuscular blocking agents], intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T48202S,"Poisoning by unspecified drugs acting on muscles, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T48292S,"Poisoning by other drugs acting on muscles, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T483X2S,"Poisoning by antitussives, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T484X2S,"Poisoning by expectorants, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T485X2S,"Poisoning by other anti-common-cold drugs, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T486X2S,"Poisoning by antiasthmatics, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T48902S,"Poisoning by unspecified agents primarily acting on the respiratory system, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T48992S,"Poisoning by other agents primarily acting on the respiratory system, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T490X2S,"Poisoning by local antifungal, anti-infective and anti-inflammatory drugs, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T491X2S,"Poisoning by antipruritics, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T492X2S,"Poisoning by local astringents and local detergents, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T493X2S,"Poisoning by emollients, demulcents and protectants, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T494X2S,"Poisoning by keratolytics, keratoplastics, and other hair treatment drugs and preparations, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T495X2S,"Poisoning by ophthalmological drugs and preparations, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T496X2S,"Poisoning by otorhinolaryngological drugs and preparations, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T497X2S,"Poisoning by dental drugs, topically applied, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T498X2S,"Poisoning by other topical agents, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T4992XS,"Poisoning by unspecified topical agent, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T500X2S,"Poisoning by mineralocorticoids and their antagonists, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T501X2S,"Poisoning by loop [high-ceiling] diuretics, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T502X2S,"Poisoning by carbonic-anhydrase inhibitors, benzothiadiazides and other diuretics, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T503X2S,"Poisoning by electrolytic, caloric and water-balance agents, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T504X2S,"Poisoning by drugs affecting uric acid metabolism, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T505X2S,"Poisoning by appetite depressants, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T506X2S,"Poisoning by antidotes and chelating agents, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T507X2S,"Poisoning by analeptics and opioid receptor antagonists, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T508X2S,"Poisoning by diagnostic agents, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T50902S,"Poisoning by unspecified drugs, medicaments and biological substances, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T50912S,"Poisoning by multiple unspecified drugs, medicaments and biological substances, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,N,09 Poisoning by drugs or adverse effects of medical drugs,Intentional self-harm
T50992S,"Poisoning by other drugs, medicaments and biological substances, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T50A12S,"Poisoning by pertussis vaccine, including combinations with a pertussis component, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T50A22S,"Poisoning by mixed bacterial vaccines without a pertussis component, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T50A92S,"Poisoning by other bacterial vaccines, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T50B12S,"Poisoning by smallpox vaccines, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T50B92S,"Poisoning by other viral vaccines, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T50Z12S,"Poisoning by immunoglobulin, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T50Z92S,"Poisoning by other vaccines and biological substances, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T510X2S,"Toxic effect of ethanol, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T511X2S,"Toxic effect of methanol, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T512X2S,"Toxic effect of 2-Propanol, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T513X2S,"Toxic effect of fusel oil, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T518X2S,"Toxic effect of other alcohols, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T5192XS,"Toxic effect of unspecified alcohol, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T520X2S,"Toxic effect of petroleum products, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T521X2S,"Toxic effect of benzene, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T522X2S,"Toxic effect of homologues of benzene, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T523X2S,"Toxic effect of glycols, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T524X2S,"Toxic effect of ketones, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T528X2S,"Toxic effect of other organic solvents, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T5292XS,"Toxic effect of unspecified organic solvent, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T530X2S,"Toxic effect of carbon tetrachloride, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T531X2S,"Toxic effect of chloroform, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T532X2S,"Toxic effect of trichloroethylene, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T533X2S,"Toxic effect of tetrachloroethylene, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T534X2S,"Toxic effect of dichloromethane, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T535X2S,"Toxic effect of chlorofluorocarbons, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T536X2S,"Toxic effect of other halogen derivatives of aliphatic hydrocarbons, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T537X2S,"Toxic effect of other halogen derivatives of aromatic hydrocarbons, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T5392XS,"Toxic effect of unspecified halogen derivatives of aliphatic and aromatic hydrocarbons, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T540X2S,"Toxic effect of phenol and phenol homologues, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T541X2S,"Toxic effect of other corrosive organic compounds, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T542X2S,"Toxic effect of corrosive acids and acid-like substances, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T543X2S,"Toxic effect of corrosive alkalis and alkali-like substances, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T5492XS,"Toxic effect of unspecified corrosive substance, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T550X2S,"Toxic effect of soaps, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T551X2S,"Toxic effect of detergents, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T560X2S,"Toxic effect of lead and its compounds, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T561X2S,"Toxic effect of mercury and its compounds, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T562X2S,"Toxic effect of chromium and its compounds, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T563X2S,"Toxic effect of cadmium and its compounds, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T564X2S,"Toxic effect of copper and its compounds, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T565X2S,"Toxic effect of zinc and its compounds, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T566X2S,"Toxic effect of tin and its compounds, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T567X2S,"Toxic effect of beryllium and its compounds, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T56812S,"Toxic effect of thallium, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T56892S,"Toxic effect of other metals, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T5692XS,"Toxic effect of unspecified metal, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T570X2S,"Toxic effect of arsenic and its compounds, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T571X2S,"Toxic effect of phosphorus and its compounds, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T572X2S,"Toxic effect of manganese and its compounds, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T573X2S,"Toxic effect of hydrogen cyanide, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T578X2S,"Toxic effect of other specified inorganic substances, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T5792XS,"Toxic effect of unspecified inorganic substance, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T5802XS,"Toxic effect of carbon monoxide from motor vehicle exhaust, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T5812XS,"Toxic effect of carbon monoxide from utility gas, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T582X2S,"Toxic effect of carbon monoxide from incomplete combustion of other domestic fuels, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T588X2S,"Toxic effect of carbon monoxide from other source, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T5892XS,"Toxic effect of carbon monoxide from unspecified source, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T590X2S,"Toxic effect of nitrogen oxides, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T591X2S,"Toxic effect of sulfur dioxide, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T592X2S,"Toxic effect of formaldehyde, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T593X2S,"Toxic effect of lacrimogenic gas, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T594X2S,"Toxic effect of chlorine gas, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T595X2S,"Toxic effect of fluorine gas and hydrogen fluoride, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T596X2S,"Toxic effect of hydrogen sulfide, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T597X2S,"Toxic effect of carbon dioxide, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T59812S,"Toxic effect of smoke, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T59892S,"Toxic effect of other specified gases, fumes and vapors, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T5992XS,"Toxic effect of unspecified gases, fumes and vapors, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T600X2S,"Toxic effect of organophosphate and carbamate insecticides, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T601X2S,"Toxic effect of halogenated insecticides, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T602X2S,"Toxic effect of other insecticides, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T603X2S,"Toxic effect of herbicides and fungicides, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T604X2S,"Toxic effect of rodenticides, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T608X2S,"Toxic effect of other pesticides, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T6092XS,"Toxic effect of unspecified pesticide, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T6102XS,"Ciguatera fish poisoning, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T6112XS,"Scombroid fish poisoning, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T61772S,"Other fish poisoning, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T61782S,"Other shellfish poisoning, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T618X2S,"Toxic effect of other seafood, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T6192XS,"Toxic effect of unspecified seafood, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T620X2S,"Toxic effect of ingested mushrooms, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T621X2S,"Toxic effect of ingested berries, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T622X2S,"Toxic effect of other ingested (parts of) plant(s), intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T628X2S,"Toxic effect of other specified noxious substances eaten as food, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T6292XS,"Toxic effect of unspecified noxious substance eaten as food, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T63002S,"Toxic effect of unspecified snake venom, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T63012S,"Toxic effect of rattlesnake venom, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T63022S,"Toxic effect of coral snake venom, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T63032S,"Toxic effect of taipan venom, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T63042S,"Toxic effect of cobra venom, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T63062S,"Toxic effect of venom of other North and South American snake, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T63072S,"Toxic effect of venom of other Australian snake, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T63082S,"Toxic effect of venom of other African and Asian snake, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T63092S,"Toxic effect of venom of other snake, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T63112S,"Toxic effect of venom of gila monster, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T63122S,"Toxic effect of venom of other venomous lizard, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T63192S,"Toxic effect of venom of other reptiles, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T632X2S,"Toxic effect of venom of scorpion, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T63302S,"Toxic effect of unspecified spider venom, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T63312S,"Toxic effect of venom of black widow spider, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T63322S,"Toxic effect of venom of tarantula, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T63332S,"Toxic effect of venom of brown recluse spider, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T63392S,"Toxic effect of venom of other spider, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T63412S,"Toxic effect of venom of centipedes and venomous millipedes, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T63422S,"Toxic effect of venom of ants, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T63432S,"Toxic effect of venom of caterpillars, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T63442S,"Toxic effect of venom of bees, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T63452S,"Toxic effect of venom of hornets, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T63462S,"Toxic effect of venom of wasps, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T63482S,"Toxic effect of venom of other arthropod, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T63512S,"Toxic effect of contact with stingray, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T63592S,"Toxic effect of contact with other venomous fish, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T63612S,"Toxic effect of contact with Portugese Man-o-war, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T63622S,"Toxic effect of contact with other jellyfish, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T63632S,"Toxic effect of contact with sea anemone, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T63692S,"Toxic effect of contact with other venomous marine animals, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T63712S,"Toxic effect of contact with venomous marine plant, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T63792S,"Toxic effect of contact with other venomous plant, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T63812S,"Toxic effect of contact with venomous frog, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T63822S,"Toxic effect of contact with venomous toad, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T63832S,"Toxic effect of contact with other venomous amphibian, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T63892S,"Toxic effect of contact with other venomous animals, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T6392XS,"Toxic effect of contact with unspecified venomous animal, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T6402XS,"Toxic effect of aflatoxin, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T6482XS,"Toxic effect of other mycotoxin food contaminants, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T650X2S,"Toxic effect of cyanides, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T651X2S,"Toxic effect of strychnine and its salts, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T65212S,"Toxic effect of chewing tobacco, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T65222S,"Toxic effect of tobacco cigarettes, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T65292S,"Toxic effect of other tobacco and nicotine, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T653X2S,"Toxic effect of nitroderivatives and aminoderivatives of benzene and its homologues, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T654X2S,"Toxic effect of carbon disulfide, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T655X2S,"Toxic effect of nitroglycerin and other nitric acids and esters, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T656X2S,"Toxic effect of paints and dyes, not elsewhere classified, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T65812S,"Toxic effect of latex, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
T65822S,"Toxic effect of harmful algae and algae toxins, intentional self-harm, sequela",MBD034,Mental and substance use disorders; sequela,X,0 Invalid PDX,Intentional self-harm
