ICD-10-CM Code,ICD-10-CM Code Description,CCSR Category,CCSR Category Description,Default CCSR (Y/N/X),Rationale,Condition
T23659D,"Corrosion of second degree of unspecified palm, subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T23661A,"Corrosion of second degree back of right hand, init encntr",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T23661D,"Corrosion of second degree back of right hand, subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T23662A,"Corrosion of second degree back of left hand, init encntr",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T23662D,"Corrosion of second degree back of left hand, subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T23669A,"Corrosion of second degree back of unsp hand, init encntr",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T23669D,"Corrosion of second degree back of unsp hand, subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T23671A,"Corrosion of second degree of right wrist, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T23671D,"Corrosion of second degree of right wrist, subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T23672A,"Corrosion of second degree of left wrist, initial encounter",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T23672D,"Corrosion of second degree of left wrist, subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T23679A,"Corrosion of second degree of unspecified wrist, init encntr",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T23679D,"Corrosion of second degree of unspecified wrist, subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T23691A,"Corrosion of 2nd deg mul sites of right wrist and hand, init",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T23691D,"Corrosion of 2nd deg mul sites of right wrist and hand, subs",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T23692A,"Corrosion of 2nd deg mul sites of left wrist and hand, init",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T23692D,"Corrosion of 2nd deg mul sites of left wrist and hand, subs",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T23699A,"Corrosion of 2nd deg mul sites of unsp wrist and hand, init",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T23699D,"Corrosion of 2nd deg mul sites of unsp wrist and hand, subs",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T23701A,"Corrosion of third degree of right hand, unsp site, init",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T23701D,"Corrosion of third degree of right hand, unsp site, subs",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T23702A,"Corrosion of third degree of left hand, unsp site, init",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T23702D,"Corrosion of third degree of left hand, unsp site, subs",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T23709A,"Corrosion of third degree of unsp hand, unsp site, init",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T23709D,"Corrosion of third degree of unsp hand, unsp site, subs",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T23711A,"Corrosion of third degree of right thumb (nail), init encntr",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T23711D,"Corrosion of third degree of right thumb (nail), subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T23712A,"Corrosion of third degree of left thumb (nail), init encntr",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T23712D,"Corrosion of third degree of left thumb (nail), subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T23719A,"Corrosion of third degree of unsp thumb (nail), init encntr",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T23719D,"Corrosion of third degree of unsp thumb (nail), subs encntr",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T23721A,"Corros third degree of single r finger except thumb, init",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T23721D,"Corros third degree of single r finger except thumb, subs",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T23722A,"Corros third degree of single l finger except thumb, init",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T23722D,"Corros third degree of single l finger except thumb, subs",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T23729A,"Corros third degree of unsp single finger except thumb, init",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T23729D,"Corros third degree of unsp single finger except thumb, subs",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T23731A,"Corros 3rd deg mu right fingers (nail), not inc thumb, init",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T23731D,"Corros 3rd deg mu right fingers (nail), not inc thumb, subs",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T23732A,"Corros 3rd deg mu left fingers (nail), not inc thumb, init",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T23732D,"Corros 3rd deg mu left fingers (nail), not inc thumb, subs",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T23739A,"Corros third degree of unsp mult fngr, not inc thumb, init",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T23739D,"Corros third degree of unsp mult fngr, not inc thumb, subs",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T23741A,"Corros 3rd deg mu right fingers (nail), inc thumb, init",INJ019,"Burn and corrosion, initial encounter",Y,0 Not Applicable,Burn and corrosion
T23741D,"Corros 3rd deg mu right fingers (nail), inc thumb, subs",INJ056,"Burns and corrosion, subsequent encounter",Y,0 Not Applicable,Burn and corrosion
T71233D,"Asphyx d/t being trap in a (discarded) refrig, asslt, subs",INJ058,"Effect of other external causes, subsequent encounter",Y,0 Not Applicable,Foreign body
T71233S,"Asphyx d/t being trap in a (discarded) refrig, asslt, sqla",INJ074,"Effect of other external causes, sequela",Y,0 Not Applicable,"Asphyxiation "
T71234A,"Asphyx d/t being trap in a (discarded) refrig, undet, init",INJ021,"Effect of other external causes, initial encounter",Y,0 Not Applicable,Asphyxiation
T71234D,"Asphyx d/t being trap in a (discarded) refrig, undet, subs",INJ058,"Effect of other external causes, subsequent encounter",Y,0 Not Applicable,Foreign body
T71234S,"Asphyx d/t being trap in a (discarded) refrig, undet, sqla",INJ074,"Effect of other external causes, sequela",Y,0 Not Applicable,"Asphyxiation "
T7129XA,"Asphyx due to being trap in oth low oxygen environment, init",INJ021,"Effect of other external causes, initial encounter",Y,0 Not Applicable,Asphyxiation
T7129XD,"Asphyx due to being trap in oth low oxygen environment, subs",INJ058,"Effect of other external causes, subsequent encounter",Y,0 Not Applicable,Foreign body
T7129XS,"Asphyx due to being trap in oth low oxygen environment, sqla",INJ074,"Effect of other external causes, sequela",Y,0 Not Applicable,"Asphyxiation "
T719XXA,"Asphyxiation due to unspecified cause, initial encounter",INJ021,"Effect of other external causes, initial encounter",Y,0 Not Applicable,Asphyxiation
T719XXD,"Asphyxiation due to unspecified cause, subsequent encounter",INJ058,"Effect of other external causes, subsequent encounter",Y,0 Not Applicable,Foreign body
T719XXS,"Asphyxiation due to unspecified cause, sequela",INJ074,"Effect of other external causes, sequela",Y,0 Not Applicable,"Asphyxiation "
T7500XA,"Unspecified effects of lightning, initial encounter",INJ021,"Effect of other external causes, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter,lightning
T7500XD,"Unspecified effects of lightning, subsequent encounter",INJ058,"Effect of other external causes, subsequent encounter",Y,0 Not Applicable," lightning"
T7500XS,"Unspecified effects of lightning, sequela",INJ074,"Effect of other external causes, sequela",Y,0 Not Applicable,NULL
T7501XA,"Shock due to being struck by lightning, initial encounter",INJ021,"Effect of other external causes, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter,lightning
T7501XD,"Shock due to being struck by lightning, subsequent encounter",INJ058,"Effect of other external causes, subsequent encounter",Y,0 Not Applicable," lightning"
T7501XS,"Shock due to being struck by lightning, sequela",INJ074,"Effect of other external causes, sequela",Y,0 Not Applicable,NULL
T7509XA,"Other effects of lightning, initial encounter",INJ021,"Effect of other external causes, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter,lightning
T7509XD,"Other effects of lightning, subsequent encounter",INJ058,"Effect of other external causes, subsequent encounter",Y,0 Not Applicable," lightning"
T7509XS,"Other effects of lightning, sequela",INJ074,"Effect of other external causes, sequela",Y,0 Not Applicable,NULL
T751XXA,"Unspecified effects of drowning and nonfatal submersion, initial encounter",INJ021,"Effect of other external causes, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter,submersion
T751XXD,"Unsp effects of drowning and nonfatal submersion, subs",INJ058,"Effect of other external causes, subsequent encounter",Y,0 Not Applicable," lightning"
T751XXS,"Unsp effects of drowning and nonfatal submersion, sequela",INJ074,"Effect of other external causes, sequela",Y,0 Not Applicable,NULL
T7520XA,"Unspecified effects of vibration, initial encounter",INJ021,"Effect of other external causes, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter,submersion
T7520XS,"Unspecified effects of vibration, sequela",INJ074,"Effect of other external causes, sequela",Y,0 Not Applicable,NULL
T7521XA,"Pneumatic hammer syndrome, initial encounter",INJ021,"Effect of other external causes, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter,submersion
T7521XS,"Pneumatic hammer syndrome, sequela",INJ074,"Effect of other external causes, sequela",Y,0 Not Applicable,NULL
T7522XA,"Traumatic vasospastic syndrome, initial encounter",INJ021,"Effect of other external causes, initial encounter",Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter,submersion
T7522XS,"Traumatic vasospastic syndrome, sequela",INJ074,"Effect of other external causes, sequela",Y,0 Not Applicable,NULL
T7523XS,"Vertigo from infrasound, sequela",INJ074,"Effect of other external causes, sequela",Y,0 Not Applicable,NULL
T7529XS,"Other effects of vibration, sequela",INJ074,"Effect of other external causes, sequela",Y,0 Not Applicable,NULL
T753XXS,"Motion sickness, sequela",INJ074,"Effect of other external causes, sequela",Y,0 Not Applicable,NULL
T754XXS,"Electrocution, sequela",INJ074,"Effect of other external causes, sequela",Y,0 Not Applicable,NULL
T7581XS,"Effects of abnormal gravitation [G] forces, sequela",INJ074,"Effect of other external causes, sequela",Y,0 Not Applicable,NULL
T7582XS,"Effects of weightlessness, sequela",INJ074,"Effect of other external causes, sequela",Y,0 Not Applicable,NULL
T7589XS,"Other specified effects of external causes, sequela",INJ074,"Effect of other external causes, sequela",Y,0 Not Applicable,NULL
S78021D,"Partial traumatic amputation at right hip joint, subs encntr",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S78022A,"Partial traumatic amputation at left hip joint, init encntr",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S78022D,"Partial traumatic amputation at left hip joint, subs encntr",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S78029A,"Partial traumatic amputation at unsp hip joint, init encntr",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S78029D,"Partial traumatic amputation at unsp hip joint, subs encntr",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S78111A,"Complete traumatic amp at level betw r hip and knee, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S78111D,"Complete traumatic amp at level betw r hip and knee, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S78112A,"Complete traumatic amp at level betw left hip and knee, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S78112D,"Complete traumatic amp at level betw left hip and knee, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S78119A,"Complete traumatic amp at level betw unsp hip and knee, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S78119D,"Complete traumatic amp at level betw unsp hip and knee, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S78121A,"Partial traumatic amp at level betw right hip and knee, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S78121D,"Partial traumatic amp at level betw right hip and knee, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S78122A,"Partial traumatic amp at level betw left hip and knee, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S78122D,"Partial traumatic amp at level betw left hip and knee, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S78129A,"Partial traumatic amp at level betw unsp hip and knee, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S78129D,"Partial traumatic amp at level betw unsp hip and knee, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S78911A,"Complete traumatic amp of r hip and thigh, level unsp, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S78911D,"Complete traumatic amp of r hip and thigh, level unsp, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S78912A,"Complete traum amp of left hip and thigh, level unsp, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S78912D,"Complete traum amp of left hip and thigh, level unsp, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S78919A,"Complete traum amp of unsp hip and thigh, level unsp, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S78919D,"Complete traum amp of unsp hip and thigh, level unsp, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S78921A,"Partial traumatic amp of r hip and thigh, level unsp, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S78921D,"Partial traumatic amp of r hip and thigh, level unsp, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S78922A,"Partial traum amp of left hip and thigh, level unsp, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S78922D,"Partial traum amp of left hip and thigh, level unsp, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S78929A,"Partial traum amp of unsp hip and thigh, level unsp, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S78929D,"Partial traum amp of unsp hip and thigh, level unsp, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S8700XA,"Crushing injury of unspecified knee, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S8700XD,"Crushing injury of unspecified knee, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S8701XA,"Crushing injury of right knee, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S8701XD,"Crushing injury of right knee, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S8702XA,"Crushing injury of left knee, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S8702XD,"Crushing injury of left knee, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S8780XA,"Crushing injury of unspecified lower leg, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S8780XD,"Crushing injury of unspecified lower leg, subs encntr",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S8781XA,"Crushing injury of right lower leg, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S8781XD,"Crushing injury of right lower leg, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S8782XA,"Crushing injury of left lower leg, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S8782XD,"Crushing injury of left lower leg, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S88011A,"Complete traumatic amputation at knee level, r low leg, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S88011D,"Complete traumatic amputation at knee level, r low leg, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S88012A,"Complete traumatic amputation at knee level, l low leg, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S88012D,"Complete traumatic amputation at knee level, l low leg, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S88019A,"Complete traumatic amp at knee level, unsp lower leg, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S88019D,"Complete traumatic amp at knee level, unsp lower leg, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S88021A,"Partial traumatic amputation at knee level, r low leg, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S88021D,"Partial traumatic amputation at knee level, r low leg, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S88022A,"Partial traumatic amputation at knee level, l low leg, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S88022D,"Partial traumatic amputation at knee level, l low leg, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S88029A,"Partial traumatic amp at knee level, unsp lower leg, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S88029D,"Partial traumatic amp at knee level, unsp lower leg, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S88111A,"Complete traum amp at lev betw kn and ankl, r low leg, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S88111D,"Complete traum amp at lev betw kn and ankl, r low leg, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S88112A,"Complete traum amp at lev betw kn and ankl, l low leg, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S88112D,"Complete traum amp at lev betw kn and ankl, l low leg, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S88119A,"Complete traum amp at lev betw kn & ankl, unsp low leg, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S88119D,"Complete traum amp at lev betw kn & ankl, unsp low leg, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S88121A,"Part traum amp at level betw knee and ankle, r low leg, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S88121D,"Part traum amp at level betw knee and ankle, r low leg, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S88122A,"Part traum amp at level betw knee and ankle, l low leg, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S88122D,"Part traum amp at level betw knee and ankle, l low leg, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S88129A,"Part traum amp at lev betw knee and ankl, unsp low leg, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S88129D,"Part traum amp at lev betw knee and ankl, unsp low leg, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S88911A,"Complete traumatic amputation of r low leg, level unsp, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S88911D,"Complete traumatic amputation of r low leg, level unsp, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S88912A,"Complete traumatic amputation of l low leg, level unsp, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S88912D,"Complete traumatic amputation of l low leg, level unsp, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S88919A,"Complete traumatic amp of unsp lower leg, level unsp, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S88919D,"Complete traumatic amp of unsp lower leg, level unsp, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S88921A,"Partial traumatic amputation of r low leg, level unsp, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S88921D,"Partial traumatic amputation of r low leg, level unsp, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S88922A,"Partial traumatic amputation of l low leg, level unsp, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S88922D,"Partial traumatic amputation of l low leg, level unsp, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S88929A,"Partial traumatic amp of unsp lower leg, level unsp, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S88929D,"Partial traumatic amp of unsp lower leg, level unsp, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S9700XA,"Crushing injury of unspecified ankle, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S9700XD,"Crushing injury of unspecified ankle, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S9701XA,"Crushing injury of right ankle, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S9701XD,"Crushing injury of right ankle, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S9702XA,"Crushing injury of left ankle, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S9702XD,"Crushing injury of left ankle, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S97101A,"Crushing injury of unspecified right toe(s), init encntr",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S97101D,"Crushing injury of unspecified right toe(s), subs encntr",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S97102A,"Crushing injury of unspecified left toe(s), init encntr",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S97102D,"Crushing injury of unspecified left toe(s), subs encntr",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S97109A,"Crushing injury of unspecified toe(s), initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S97109D,"Crushing injury of unspecified toe(s), subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S97111A,"Crushing injury of right great toe, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S97111D,"Crushing injury of right great toe, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S97112A,"Crushing injury of left great toe, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S97112D,"Crushing injury of left great toe, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S97119A,"Crushing injury of unspecified great toe, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S97119D,"Crushing injury of unspecified great toe, subs encntr",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S97121A,"Crushing injury of right lesser toe(s), initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S97121D,"Crushing injury of right lesser toe(s), subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S97122A,"Crushing injury of left lesser toe(s), initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S97122D,"Crushing injury of left lesser toe(s), subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S97129A,"Crushing injury of unspecified lesser toe(s), init encntr",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S97129D,"Crushing injury of unspecified lesser toe(s), subs encntr",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S9780XA,"Crushing injury of unspecified foot, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S9780XD,"Crushing injury of unspecified foot, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S9781XA,"Crushing injury of right foot, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S9781XD,"Crushing injury of right foot, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S9782XA,"Crushing injury of left foot, initial encounter",INJ018,"Crushing injury, initial encounter",Y,0 Not Applicable,crushing injury
S9782XD,"Crushing injury of left foot, subsequent encounter",INJ055,"Crushing injury, subsequent encounter",Y,0 Not Applicable,crushing injury
S98011A,"Complete traumatic amp of right foot at ankle level, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S98011D,"Complete traumatic amp of right foot at ankle level, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S98012A,"Complete traumatic amp of left foot at ankle level, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S98012D,"Complete traumatic amp of left foot at ankle level, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S98019A,"Complete traumatic amp of unsp foot at ankle level, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S98019D,"Complete traumatic amp of unsp foot at ankle level, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S98021A,"Partial traumatic amp of right foot at ankle level, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S98021D,"Partial traumatic amp of right foot at ankle level, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
S98022A,"Partial traumatic amp of left foot at ankle level, init",INJ014,"Amputation of a limb, initial encounter",Y,0 Not Applicable,traumatic amputation
S98022D,"Partial traumatic amp of left foot at ankle level, subs",INJ051,"Amputation of a limb, subsequent encounter",Y,0 Not Applicable,traumatic amputation
