ICD-10-CM Code,ICD-10-CM Code Description,CCSR Category,CCSR Category Description,Default CCSR (Y/N/X),Rationale,Condition,Unnamed: 7
I6339,Cerebral infarction due to thrombosis of oth cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I6340,Cerebral infarction due to embolism of unsp cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63411,Cereb infrc due to embolism of right middle cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63412,Cereb infrc due to embolism of left middle cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63413,Cerebral infrc due to embolism of bi middle cerebral art,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63419,Cereb infrc due to embolism of unsp middle cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63421,Cerebral infrc due to embolism of right ant cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63422,Cerebral infrc due to embolism of left ant cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63423,Cerebral infrc due to embolism of bi ant cerebral arteries,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63429,Cerebral infrc due to embolism of unsp ant cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63431,Cerebral infrc due to embolism of right post cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63432,Cerebral infrc due to embolism of left post cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63433,Cerebral infrc due to embolism of bi post cerebral arteries,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63439,Cerebral infrc due to embolism of unsp post cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63441,Cerebral infarction due to embolism of right cereblr artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63442,Cerebral infarction due to embolism of left cereblr artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63443,Cerebral infrc due to embolism of bilateral cereblr arteries,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63449,Cerebral infarction due to embolism of unsp cereblr artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I6349,Cerebral infarction due to embolism of other cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I6350,Cereb infrc due to unsp occls or stenos of unsp cereb artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63511,Cereb infrc d/t unsp occls or stenos of right mid cereb art,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63512,Cereb infrc d/t unsp occls or stenos of left mid cereb art,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63513,Cereb infrc d/t unsp occls or stenos of bi middle cereb art,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63519,Cereb infrc d/t unsp occls or stenos of unsp mid cereb art,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63521,Cereb infrc d/t unsp occls or stenos of right ant cereb art,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63522,Cereb infrc d/t unsp occls or stenos of left ant cereb art,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63523,Cereb infrc due to unsp occls or stenos of bi ant cereb art,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63529,Cereb infrc d/t unsp occls or stenos of unsp ant cereb art,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63531,Cereb infrc d/t unsp occls or stenos of right post cereb art,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63532,Cereb infrc d/t unsp occls or stenos of left post cereb art,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63533,Cereb infrc due to unsp occls or stenos of bi post cereb art,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63539,Cereb infrc d/t unsp occls or stenos of unsp post cereb art,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63541,Cereb infrc due to unsp occls or stenos of right cereblr art,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63542,Cereb infrc due to unsp occls or stenos of left cereblr art,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63543,Cereb infrc due to unsp occls or stenosis of bi cereblr art,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I63549,Cereb infrc due to unsp occls or stenos of unsp cereblr art,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I6359,Cereb infrc due to unsp occls or stenosis of cerebral artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I636,"Cerebral infrc due to cerebral venous thombos, nonpyogenic",CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I638,Other cerebral infarction,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I6381,Other cerebral infarction due to occlusion or stenosis of small artery,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I6389,Other cerebral infarction,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I639,"Cerebral infarction, unspecified",CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I97810,Intraoperative cerebrovascular infarction during cardiac surgery,CIR020,Cerebral infarction,N,01 Postprocedural or postoperative complications,Cerebral infarction,NULL
I97811,Intraoperative cerebrovascular infarction during other surgery,CIR020,Cerebral infarction,N,01 Postprocedural or postoperative complications,Cerebral infarction,NULL
I97820,Postprocedural cerebrovascular infarction following cardiac surgery,CIR020,Cerebral infarction,N,01 Postprocedural or postoperative complications,Cerebral infarction,NULL
I97821,Postprocedural cerebrovascular infarction following other surgery,CIR020,Cerebral infarction,N,01 Postprocedural or postoperative complications,Cerebral infarction,NULL
R29701,NIHSS score 1,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
R29702,NIHSS score 2,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
R29703,NIHSS score 3,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
R29704,NIHSS score 4,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
R29705,NIHSS score 5,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
R29706,NIHSS score 6,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
R29707,NIHSS score 7,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
R29708,NIHSS score 8,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
R29709,NIHSS score 9,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
R29710,NIHSS score 10,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
R29711,NIHSS score 11,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
R29712,NIHSS score 12,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
R29713,NIHSS score 13,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
R29714,NIHSS score 14,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
R29715,NIHSS score 15,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
R29716,NIHSS score 16,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
R29717,NIHSS score 17,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
R29718,NIHSS score 18,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
R29719,NIHSS score 19,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
R29720,NIHSS score 20,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
R29721,NIHSS score 21,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
R29722,NIHSS score 22,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
R29723,NIHSS score 23,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
R29724,NIHSS score 24,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
R29725,NIHSS score 25,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
R29726,NIHSS score 26,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
R29727,NIHSS score 27,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
R29728,NIHSS score 28,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
R29729,NIHSS score 29,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
R29730,NIHSS score 30,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
R29731,NIHSS score 31,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
R29732,NIHSS score 32,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
R29733,NIHSS score 33,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
R29734,NIHSS score 34,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
R29735,NIHSS score 35,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
R29736,NIHSS score 36,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
R29737,NIHSS score 37,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
R29738,NIHSS score 38,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
R29739,NIHSS score 39,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
R29740,NIHSS score 40,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
R29741,NIHSS score 41,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
R29742,NIHSS score 42,CIR020,Cerebral infarction,Y,0 Not Applicable,Cerebral infarction,NULL
I200,Unstable angina,CIR011,Coronary atherosclerosis and other heart disease,Y,0 Not Applicable,angina,NULL
I201,Angina pectoris with documented spasm,CIR011,Coronary atherosclerosis and other heart disease,Y,0 Not Applicable,angina,NULL
I208,Other forms of angina pectoris,CIR011,Coronary atherosclerosis and other heart disease,Y,0 Not Applicable,angina,NULL
I209,"Angina pectoris, unspecified",CIR011,Coronary atherosclerosis and other heart disease,Y,0 Not Applicable,angina,NULL
I240,Acute coronary thrombosis not resulting in myocardial infrc,CIR011,Coronary atherosclerosis and other heart disease,Y,0 Not Applicable,angina,NULL
I249,"Acute ischemic heart disease, unspecified",CIR011,Coronary atherosclerosis and other heart disease,Y,0 Not Applicable,angina,NULL
I2510,Athscl heart disease of native coronary artery w/o ang pctrs,CIR011,Coronary atherosclerosis and other heart disease,Y,0 Not Applicable,angina,NULL
I25110,Athscl heart disease of native cor art w unstable ang pctrs,CIR011,Coronary atherosclerosis and other heart disease,Y,0 Not Applicable,angina,NULL
I25111,Athscl heart disease of native cor art w ang pctrs w spasm,CIR011,Coronary atherosclerosis and other heart disease,Y,0 Not Applicable,angina,NULL
I25118,Athscl heart disease of native cor art w oth ang pctrs,CIR011,Coronary atherosclerosis and other heart disease,Y,0 Not Applicable,angina,NULL
I25119,Athscl heart disease of native cor art w unsp ang pctrs,CIR011,Coronary atherosclerosis and other heart disease,Y,0 Not Applicable,angina,NULL
I256,Silent myocardial ischemia,CIR011,Coronary atherosclerosis and other heart disease,Y,0 Not Applicable,angina,NULL
I25700,"Atherosclerosis of CABG, unsp, w unstable angina pectoris",CIR011,Coronary atherosclerosis and other heart disease,Y,0 Not Applicable,angina,NULL
I25701,"Athscl CABG, unsp, w angina pectoris w documented spasm",CIR011,Coronary atherosclerosis and other heart disease,Y,0 Not Applicable,angina,NULL
I25708,"Atherosclerosis of CABG, unsp, w oth angina pectoris",CIR011,Coronary atherosclerosis and other heart disease,Y,0 Not Applicable,angina,NULL
I25709,"Atherosclerosis of CABG, unsp, w unsp angina pectoris",CIR011,Coronary atherosclerosis and other heart disease,Y,0 Not Applicable,angina,NULL
I25710,Athscl autologous vein CABG w unstable angina pectoris,CIR011,Coronary atherosclerosis and other heart disease,Y,0 Not Applicable,angina,NULL
I25711,Athscl autologous vein CABG w ang pctrs w documented spasm,CIR011,Coronary atherosclerosis and other heart disease,Y,0 Not Applicable,angina,NULL
I25718,Athscl autologous vein CABG w oth angina pectoris,CIR011,Coronary atherosclerosis and other heart disease,Y,0 Not Applicable,angina,NULL
I25719,Athscl autologous vein CABG w unsp angina pectoris,CIR011,Coronary atherosclerosis and other heart disease,Y,0 Not Applicable,angina,NULL
I25720,Athscl autologous artery CABG w unstable angina pectoris,CIR011,Coronary atherosclerosis and other heart disease,Y,0 Not Applicable,angina,NULL
I25721,Athscl autologous artery CABG w ang pctrs w documented spasm,CIR011,Coronary atherosclerosis and other heart disease,Y,0 Not Applicable,angina,NULL
I25728,Athscl autologous artery CABG w oth angina pectoris,CIR011,Coronary atherosclerosis and other heart disease,Y,0 Not Applicable,angina,NULL
I25729,Athscl autologous artery CABG w unsp angina pectoris,CIR011,Coronary atherosclerosis and other heart disease,Y,0 Not Applicable,angina,NULL
I25730,Athscl nonautologous biological CABG w unstable ang pctrs,CIR011,Coronary atherosclerosis and other heart disease,Y,0 Not Applicable,angina,NULL
I25731,Athscl nonaut biological CABG w ang pctrs w documented spasm,CIR011,Coronary atherosclerosis and other heart disease,Y,0 Not Applicable,angina,NULL
I25738,Athscl nonautologous biological CABG w oth angina pectoris,CIR011,Coronary atherosclerosis and other heart disease,Y,0 Not Applicable,angina,NULL
I25739,Athscl nonautologous biological CABG w unsp angina pectoris,CIR011,Coronary atherosclerosis and other heart disease,Y,0 Not Applicable,angina,NULL
I25750,Athscl native cor art of txplt heart w unstable angina,CIR011,Coronary atherosclerosis and other heart disease,Y,0 Not Applicable,angina,NULL
I25751,Athscl native cor art of txplt heart w ang pctrs w spasm,CIR011,Coronary atherosclerosis and other heart disease,Y,0 Not Applicable,angina,NULL
I25758,Athscl native cor art of transplanted heart w oth ang pctrs,CIR011,Coronary atherosclerosis and other heart disease,Y,0 Not Applicable,angina,NULL
I25759,Athscl native cor art of transplanted heart w unsp ang pctrs,CIR011,Coronary atherosclerosis and other heart disease,Y,0 Not Applicable,angina,NULL
I25760,Athscl bypass of cor art of txplt heart w unstable angina,CIR011,Coronary atherosclerosis and other heart disease,Y,0 Not Applicable,angina,NULL
I25761,Athscl bypass of cor art of txplt heart w ang pctrs w spasm,CIR011,Coronary atherosclerosis and other heart disease,Y,0 Not Applicable,angina,NULL
I25768,Athscl bypass of cor art of txplt heart w oth ang pctrs,CIR011,Coronary atherosclerosis and other heart disease,Y,0 Not Applicable,angina,NULL
I25769,Athscl bypass of cor art of txplt heart w unsp ang pctrs,CIR011,Coronary atherosclerosis and other heart disease,Y,0 Not Applicable,angina,NULL
I25790,Atherosclerosis of CABG w unstable angina pectoris,CIR011,Coronary atherosclerosis and other heart disease,Y,0 Not Applicable,angina,NULL
I25791,Atherosclerosis of CABG w angina pectoris w documented spasm,CIR011,Coronary atherosclerosis and other heart disease,Y,0 Not Applicable,angina,NULL
I25798,Atherosclerosis of CABG w oth angina pectoris,CIR011,Coronary atherosclerosis and other heart disease,Y,0 Not Applicable,angina,NULL
I25799,Atherosclerosis of CABG w unsp angina pectoris,CIR011,Coronary atherosclerosis and other heart disease,Y,0 Not Applicable,angina,NULL
I25811,Athscl native cor art of transplanted heart w/o ang pctrs,CIR011,Coronary atherosclerosis and other heart disease,Y,0 Not Applicable,angina,NULL
E0852,Diabetes mellitus due to underlying condition with diabetic peripheral angiopathy with gangrene,CIR028,Gangrene,N,02 Diabetes mellitus,gangrene,NULL
E0952,Drug or chemical induced diabetes mellitus with diabetic peripheral angiopathy with gangrene,CIR028,Gangrene,N,02 Diabetes mellitus,gangrene,NULL
E1052,Type 1 diabetes mellitus with diabetic peripheral angiopathy with gangrene,CIR028,Gangrene,N,02 Diabetes mellitus,gangrene,NULL
E1152,Type 2 diabetes mellitus with diabetic peripheral angiopathy with gangrene,CIR028,Gangrene,N,02 Diabetes mellitus,gangrene,NULL
E1352,Other specified diabetes mellitus with diabetic peripheral angiopathy with gangrene,CIR028,Gangrene,N,02 Diabetes mellitus,gangrene,NULL
I70261,"Atherosclerosis of native arteries of extremities with gangrene, right leg",CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
I70262,"Atherosclerosis of native arteries of extremities with gangrene, left leg",CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
I70263,"Atherosclerosis of native arteries of extremities with gangrene, bilateral legs",CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
I70268,"Atherosclerosis of native arteries of extremities with gangrene, other extremity",CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
I70269,"Atherosclerosis of native arteries of extremities with gangrene, unspecified extremity",CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
I70361,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, right leg",CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
I70362,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, left leg",CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
I70363,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, bilateral legs",CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
I70368,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, other extremity",CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
I70369,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, unspecified extremity",CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
I70461,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, right leg",CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
I70462,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, left leg",CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
I70463,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, bilateral legs",CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
I70468,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, other extremity",CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
I70469,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, unspecified extremity",CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
I70561,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene, right leg",CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
I70562,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene, left leg",CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
I70563,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene, bilateral legs",CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
I70568,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene, other extremity",CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
I70569,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene, unspecified extremity",CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
I70661,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with gangrene, right leg",CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
I70662,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with gangrene, left leg",CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
I70663,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with gangrene, bilateral legs",CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
I70668,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with gangrene, other extremity",CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
I70669,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with gangrene, unspecified extremity",CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
I70761,"Atherosclerosis of other type of bypass graft(s) of the extremities with gangrene, right leg",CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
I70762,"Atherosclerosis of other type of bypass graft(s) of the extremities with gangrene, left leg",CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
I70763,"Atherosclerosis of other type of bypass graft(s) of the extremities with gangrene, bilateral legs",CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
I70768,"Atherosclerosis of other type of bypass graft(s) of the extremities with gangrene, other extremity",CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
I70769,"Atherosclerosis of other type of bypass graft(s) of the extremities with gangrene, unspecified extremity",CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
I7301,Raynauds syndrome with gangrene,CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
I96,"Gangrene, not elsewhere classified",CIR028,Gangrene,Y,0 Not Applicable,gangrene,NULL
J850,Gangrene and necrosis of lung,CIR028,Gangrene,Y,0 Not Applicable,gangrene,NULL
K4010,"Bilateral inguinal hernia, with gangrene, not specified as recurrent",CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
K4011,"Bilateral inguinal hernia, with gangrene, recurrent",CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
K4040,"Unilateral inguinal hernia, with gangrene, not specified as recurrent",CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
K4041,"Unilateral inguinal hernia, with gangrene, recurrent",CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
K4110,"Bilateral femoral hernia, with gangrene, not specified as recurrent",CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
K4111,"Bilateral femoral hernia, with gangrene, recurrent",CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
K4140,"Unilateral femoral hernia, with gangrene, not specified as recurrent",CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
K4141,"Unilateral femoral hernia, with gangrene, recurrent",CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
K421,Umbilical hernia with gangrene,CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
K431,Incisional hernia with gangrene,CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
K434,Parastomal hernia with gangrene,CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
K437,Other and unspecified ventral hernia with gangrene,CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
K441,Diaphragmatic hernia with gangrene,CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
K451,Other specified abdominal hernia with gangrene,CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
K461,Unspecified abdominal hernia with gangrene,CIR028,Gangrene,N,05 Condition AA with condition BB,gangrene,NULL
K82A1,Gangrene of gallbladder in cholecystitis,CIR028,Gangrene,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,gangrene,NULL
N493,Fournier gangrene,CIR028,Gangrene,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,gangrene,NULL
I160,Hypertensive urgency,CIR008,Hypertension with complications and secondary hypertension,Y,0 Not Applicable,Hypertensive emergency,NULL
I161,Hypertensive emergency,CIR008,Hypertension with complications and secondary hypertension,Y,0 Not Applicable,Hypertensive emergency,NULL
I169,"Hypertensive crisis, unspecified",CIR008,Hypertension with complications and secondary hypertension,Y,0 Not Applicable,Hypertensive emergency,NULL
I674,Hypertensive encephalopathy,CIR008,Hypertension with complications and secondary hypertension,Y,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Hypertensive emergency,NULL
I314,Cardiac tamponade,CIR006,Pericarditis and pericardial disease,Y,0 Not Applicable,Cardiac tamponade,NULL
I70261,"Atherosclerosis of native arteries of extremities with gangrene, right leg",CIR026,Peripheral and visceral vascular disease,Y,05 Condition AA with condition BB,gangrene,NULL
I70262,"Atherosclerosis of native arteries of extremities with gangrene, left leg",CIR026,Peripheral and visceral vascular disease,Y,05 Condition AA with condition BB,gangrene,NULL
I70263,"Atherosclerosis of native arteries of extremities with gangrene, bilateral legs",CIR026,Peripheral and visceral vascular disease,Y,05 Condition AA with condition BB,gangrene,NULL
I70268,"Atherosclerosis of native arteries of extremities with gangrene, other extremity",CIR026,Peripheral and visceral vascular disease,Y,05 Condition AA with condition BB,gangrene,NULL
I70269,"Atherosclerosis of native arteries of extremities with gangrene, unspecified extremity",CIR026,Peripheral and visceral vascular disease,Y,05 Condition AA with condition BB,gangrene,NULL
I70361,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, right leg",CIR026,Peripheral and visceral vascular disease,Y,05 Condition AA with condition BB,gangrene,NULL
I70362,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, left leg",CIR026,Peripheral and visceral vascular disease,Y,05 Condition AA with condition BB,gangrene,NULL
I70363,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, bilateral legs",CIR026,Peripheral and visceral vascular disease,Y,05 Condition AA with condition BB,gangrene,NULL
I70368,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, other extremity",CIR026,Peripheral and visceral vascular disease,Y,05 Condition AA with condition BB,gangrene,NULL
I70369,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, unspecified extremity",CIR026,Peripheral and visceral vascular disease,Y,05 Condition AA with condition BB,gangrene,NULL
I70461,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, right leg",CIR026,Peripheral and visceral vascular disease,Y,05 Condition AA with condition BB,gangrene,NULL
I70462,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, left leg",CIR026,Peripheral and visceral vascular disease,Y,05 Condition AA with condition BB,gangrene,NULL
I70463,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, bilateral legs",CIR026,Peripheral and visceral vascular disease,Y,05 Condition AA with condition BB,gangrene,NULL
I70468,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, other extremity",CIR026,Peripheral and visceral vascular disease,Y,05 Condition AA with condition BB,gangrene,NULL
I70469,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, unspecified extremity",CIR026,Peripheral and visceral vascular disease,Y,05 Condition AA with condition BB,gangrene,NULL
I70561,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene, right leg",CIR026,Peripheral and visceral vascular disease,Y,05 Condition AA with condition BB,gangrene,NULL
I70562,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene, left leg",CIR026,Peripheral and visceral vascular disease,Y,05 Condition AA with condition BB,gangrene,NULL
I70563,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene, bilateral legs",CIR026,Peripheral and visceral vascular disease,Y,05 Condition AA with condition BB,gangrene,NULL
