ICD-10-CM Code,ICD-10-CM Code Description,CCSR Category,CCSR Category Description,Default CCSR (Y/N/X),Rationale,Foreign body
T6091XA,"Toxic effect of unspecified pesticide, accidental (unintentional), initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T6092XA,"Toxic effect of unspecified pesticide, intentional self-harm, initial encounter",EXT015,External cause codes: poisoning by non-drug,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T6092XA,"Toxic effect of unspecified pesticide, intentional self-harm, initial encounter",EXT021,"External cause codes: intent of injury, self-harm",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T6093XA,"Toxic effect of unspecified pesticide, assault, initial encounter",EXT015,External cause codes: poisoning by non-drug,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T6093XA,"Toxic effect of unspecified pesticide, assault, initial encounter",EXT022,"External cause codes: intent of injury, assault",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T6094XA,"Toxic effect of unspecified pesticide, undetermined, initial encounter",EXT015,External cause codes: poisoning by non-drug,N,08 Suicidal ideation/attempt/intentional self-harm,NULL
T6094XA,"Toxic effect of unspecified pesticide, undetermined, initial encounter",EXT023,"External cause codes: intent of injury, undetermined",N,08 Suicidal ideation/attempt/intentional self-harm,NULL
T6101XA,"Ciguatera fish poisoning, accidental (unintentional), initial encounter",EXT015,External cause codes: poisoning by non-drug,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T6101XA,"Ciguatera fish poisoning, accidental (unintentional), initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T6102XA,"Ciguatera fish poisoning, intentional self-harm, initial encounter",EXT015,External cause codes: poisoning by non-drug,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T6102XA,"Ciguatera fish poisoning, intentional self-harm, initial encounter",EXT021,"External cause codes: intent of injury, self-harm",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T6103XA,"Ciguatera fish poisoning, assault, initial encounter",EXT015,External cause codes: poisoning by non-drug,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T6103XA,"Ciguatera fish poisoning, assault, initial encounter",EXT022,"External cause codes: intent of injury, assault",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T6104XA,"Ciguatera fish poisoning, undetermined, initial encounter",EXT015,External cause codes: poisoning by non-drug,N,08 Suicidal ideation/attempt/intentional self-harm,NULL
T6104XA,"Ciguatera fish poisoning, undetermined, initial encounter",EXT023,"External cause codes: intent of injury, undetermined",N,08 Suicidal ideation/attempt/intentional self-harm,NULL
T6111XA,"Scombroid fish poisoning, accidental (unintentional), initial encounter",EXT015,External cause codes: poisoning by non-drug,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T6111XA,"Scombroid fish poisoning, accidental (unintentional), initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T6112XA,"Scombroid fish poisoning, intentional self-harm, initial encounter",EXT015,External cause codes: poisoning by non-drug,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T6112XA,"Scombroid fish poisoning, intentional self-harm, initial encounter",EXT021,"External cause codes: intent of injury, self-harm",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T6113XA,"Scombroid fish poisoning, assault, initial encounter",EXT015,External cause codes: poisoning by non-drug,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T6113XA,"Scombroid fish poisoning, assault, initial encounter",EXT022,"External cause codes: intent of injury, assault",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T6114XA,"Scombroid fish poisoning, undetermined, initial encounter",EXT015,External cause codes: poisoning by non-drug,N,08 Suicidal ideation/attempt/intentional self-harm,NULL
T6114XA,"Scombroid fish poisoning, undetermined, initial encounter",EXT023,"External cause codes: intent of injury, undetermined",N,08 Suicidal ideation/attempt/intentional self-harm,NULL
T61771A,"Other fish poisoning, accidental (unintentional), initial encounter",EXT015,External cause codes: poisoning by non-drug,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T61771A,"Other fish poisoning, accidental (unintentional), initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T61772A,"Other fish poisoning, intentional self-harm, initial encounter",EXT015,External cause codes: poisoning by non-drug,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T61772A,"Other fish poisoning, intentional self-harm, initial encounter",EXT021,"External cause codes: intent of injury, self-harm",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T61773A,"Other fish poisoning, assault, initial encounter",EXT015,External cause codes: poisoning by non-drug,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T61773A,"Other fish poisoning, assault, initial encounter",EXT022,"External cause codes: intent of injury, assault",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T61774A,"Other fish poisoning, undetermined, initial encounter",EXT015,External cause codes: poisoning by non-drug,N,08 Suicidal ideation/attempt/intentional self-harm,NULL
T61774A,"Other fish poisoning, undetermined, initial encounter",EXT023,"External cause codes: intent of injury, undetermined",N,08 Suicidal ideation/attempt/intentional self-harm,NULL
T61781A,"Other shellfish poisoning, accidental (unintentional), initial encounter",EXT015,External cause codes: poisoning by non-drug,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T61781A,"Other shellfish poisoning, accidental (unintentional), initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T61782A,"Other shellfish poisoning, intentional self-harm, initial encounter",EXT015,External cause codes: poisoning by non-drug,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T61782A,"Other shellfish poisoning, intentional self-harm, initial encounter",EXT021,"External cause codes: intent of injury, self-harm",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T61783A,"Other shellfish poisoning, assault, initial encounter",EXT015,External cause codes: poisoning by non-drug,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T61783A,"Other shellfish poisoning, assault, initial encounter",EXT022,"External cause codes: intent of injury, assault",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T61784A,"Other shellfish poisoning, undetermined, initial encounter",EXT015,External cause codes: poisoning by non-drug,N,08 Suicidal ideation/attempt/intentional self-harm,NULL
T61784A,"Other shellfish poisoning, undetermined, initial encounter",EXT023,"External cause codes: intent of injury, undetermined",N,08 Suicidal ideation/attempt/intentional self-harm,NULL
T618X1A,"Toxic effect of other seafood, accidental (unintentional), initial encounter",EXT015,External cause codes: poisoning by non-drug,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T618X1A,"Toxic effect of other seafood, accidental (unintentional), initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T618X2A,"Toxic effect of other seafood, intentional self-harm, initial encounter",EXT015,External cause codes: poisoning by non-drug,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T618X2A,"Toxic effect of other seafood, intentional self-harm, initial encounter",EXT021,"External cause codes: intent of injury, self-harm",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T618X3A,"Toxic effect of other seafood, assault, initial encounter",EXT015,External cause codes: poisoning by non-drug,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T618X3A,"Toxic effect of other seafood, assault, initial encounter",EXT022,"External cause codes: intent of injury, assault",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T618X4A,"Toxic effect of other seafood, undetermined, initial encounter",EXT015,External cause codes: poisoning by non-drug,N,08 Suicidal ideation/attempt/intentional self-harm,NULL
T618X4A,"Toxic effect of other seafood, undetermined, initial encounter",EXT023,"External cause codes: intent of injury, undetermined",N,08 Suicidal ideation/attempt/intentional self-harm,NULL
T6191XA,"Toxic effect of unspecified seafood, accidental (unintentional), initial encounter",EXT015,External cause codes: poisoning by non-drug,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T6191XA,"Toxic effect of unspecified seafood, accidental (unintentional), initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T6192XA,"Toxic effect of unspecified seafood, intentional self-harm, initial encounter",EXT015,External cause codes: poisoning by non-drug,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T6192XA,"Toxic effect of unspecified seafood, intentional self-harm, initial encounter",EXT021,"External cause codes: intent of injury, self-harm",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T6193XA,"Toxic effect of unspecified seafood, assault, initial encounter",EXT015,External cause codes: poisoning by non-drug,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T6193XA,"Toxic effect of unspecified seafood, assault, initial encounter",EXT022,"External cause codes: intent of injury, assault",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T6194XA,"Toxic effect of unspecified seafood, undetermined, initial encounter",EXT015,External cause codes: poisoning by non-drug,N,08 Suicidal ideation/attempt/intentional self-harm,NULL
T6194XA,"Toxic effect of unspecified seafood, undetermined, initial encounter",EXT023,"External cause codes: intent of injury, undetermined",N,08 Suicidal ideation/attempt/intentional self-harm,NULL
T620X1A,"Toxic effect of ingested mushrooms, accidental (unintentional), initial encounter",EXT015,External cause codes: poisoning by non-drug,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T620X1A,"Toxic effect of ingested mushrooms, accidental (unintentional), initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T620X2A,"Toxic effect of ingested mushrooms, intentional self-harm, initial encounter",EXT015,External cause codes: poisoning by non-drug,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T620X2A,"Toxic effect of ingested mushrooms, intentional self-harm, initial encounter",EXT021,"External cause codes: intent of injury, self-harm",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T620X3A,"Toxic effect of ingested mushrooms, assault, initial encounter",EXT015,External cause codes: poisoning by non-drug,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T620X3A,"Toxic effect of ingested mushrooms, assault, initial encounter",EXT022,"External cause codes: intent of injury, assault",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T620X4A,"Toxic effect of ingested mushrooms, undetermined, initial encounter",EXT015,External cause codes: poisoning by non-drug,N,08 Suicidal ideation/attempt/intentional self-harm,NULL
T620X4A,"Toxic effect of ingested mushrooms, undetermined, initial encounter",EXT023,"External cause codes: intent of injury, undetermined",N,08 Suicidal ideation/attempt/intentional self-harm,NULL
T621X1A,"Toxic effect of ingested berries, accidental (unintentional), initial encounter",EXT015,External cause codes: poisoning by non-drug,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T621X1A,"Toxic effect of ingested berries, accidental (unintentional), initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T621X2A,"Toxic effect of ingested berries, intentional self-harm, initial encounter",EXT015,External cause codes: poisoning by non-drug,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T621X2A,"Toxic effect of ingested berries, intentional self-harm, initial encounter",EXT021,"External cause codes: intent of injury, self-harm",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T621X3A,"Toxic effect of ingested berries, assault, initial encounter",EXT015,External cause codes: poisoning by non-drug,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T621X3A,"Toxic effect of ingested berries, assault, initial encounter",EXT022,"External cause codes: intent of injury, assault",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T621X4A,"Toxic effect of ingested berries, undetermined, initial encounter",EXT015,External cause codes: poisoning by non-drug,N,08 Suicidal ideation/attempt/intentional self-harm,NULL
T621X4A,"Toxic effect of ingested berries, undetermined, initial encounter",EXT023,"External cause codes: intent of injury, undetermined",N,08 Suicidal ideation/attempt/intentional self-harm,NULL
T622X1A,"Toxic effect of other ingested (parts of) plant(s), accidental (unintentional), initial encounter",EXT015,External cause codes: poisoning by non-drug,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T622X1A,"Toxic effect of other ingested (parts of) plant(s), accidental (unintentional), initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T622X2A,"Toxic effect of other ingested (parts of) plant(s), intentional self-harm, initial encounter",EXT015,External cause codes: poisoning by non-drug,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T622X2A,"Toxic effect of other ingested (parts of) plant(s), intentional self-harm, initial encounter",EXT021,"External cause codes: intent of injury, self-harm",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T622X3A,"Toxic effect of other ingested (parts of) plant(s), assault, initial encounter",EXT015,External cause codes: poisoning by non-drug,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T622X3A,"Toxic effect of other ingested (parts of) plant(s), assault, initial encounter",EXT022,"External cause codes: intent of injury, assault",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T622X4A,"Toxic effect of other ingested (parts of) plant(s), undetermined, initial encounter",EXT015,External cause codes: poisoning by non-drug,N,08 Suicidal ideation/attempt/intentional self-harm,NULL
T622X4A,"Toxic effect of other ingested (parts of) plant(s), undetermined, initial encounter",EXT023,"External cause codes: intent of injury, undetermined",N,08 Suicidal ideation/attempt/intentional self-harm,NULL
T628X1A,"Toxic effect of other specified noxious substances eaten as food, accidental (unintentional), initial encounter",EXT015,External cause codes: poisoning by non-drug,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T628X1A,"Toxic effect of other specified noxious substances eaten as food, accidental (unintentional), initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T628X2A,"Toxic effect of other specified noxious substances eaten as food, intentional self-harm, initial encounter",EXT015,External cause codes: poisoning by non-drug,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T628X2A,"Toxic effect of other specified noxious substances eaten as food, intentional self-harm, initial encounter",EXT021,"External cause codes: intent of injury, self-harm",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T628X3A,"Toxic effect of other specified noxious substances eaten as food, assault, initial encounter",EXT015,External cause codes: poisoning by non-drug,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T628X3A,"Toxic effect of other specified noxious substances eaten as food, assault, initial encounter",EXT022,"External cause codes: intent of injury, assault",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T628X4A,"Toxic effect of other specified noxious substances eaten as food, undetermined, initial encounter",EXT015,External cause codes: poisoning by non-drug,N,08 Suicidal ideation/attempt/intentional self-harm,NULL
T628X4A,"Toxic effect of other specified noxious substances eaten as food, undetermined, initial encounter",EXT023,"External cause codes: intent of injury, undetermined",N,08 Suicidal ideation/attempt/intentional self-harm,NULL
T6291XA,"Toxic effect of unspecified noxious substance eaten as food, accidental (unintentional), initial encounter",EXT015,External cause codes: poisoning by non-drug,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T6291XA,"Toxic effect of unspecified noxious substance eaten as food, accidental (unintentional), initial encounter",EXT020,"External cause codes: intent of injury, accidental/unintentional",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T6292XA,"Toxic effect of unspecified noxious substance eaten as food, intentional self-harm, initial encounter",EXT015,External cause codes: poisoning by non-drug,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T6292XA,"Toxic effect of unspecified noxious substance eaten as food, intentional self-harm, initial encounter",EXT021,"External cause codes: intent of injury, self-harm",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T6293XA,"Toxic effect of unspecified noxious substance eaten as food, assault, initial encounter",EXT015,External cause codes: poisoning by non-drug,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T6293XA,"Toxic effect of unspecified noxious substance eaten as food, assault, initial encounter",EXT022,"External cause codes: intent of injury, assault",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,NULL
T6294XA,"Toxic effect of unspecified noxious substance eaten as food, undetermined, initial encounter",EXT015,External cause codes: poisoning by non-drug,N,08 Suicidal ideation/attempt/intentional self-harm,NULL
T6294XA,"Toxic effect of unspecified noxious substance eaten as food, undetermined, initial encounter",EXT023,"External cause codes: intent of injury, undetermined",N,08 Suicidal ideation/attempt/intentional self-harm,NULL
T63002A,"Toxic effect of unspecified snake venom, intentional self-harm, initial encounter",EXT012,External cause codes: bites; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Poisoning/Bites
T63002A,"Toxic effect of unspecified snake venom, intentional self-harm, initial encounter",EXT021,"External cause codes: intent of injury, self-harm",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Poisoning/Bites
T63003A,"Toxic effect of unspecified snake venom, assault, initial encounter",EXT012,External cause codes: bites; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Poisoning/Bites
T63003A,"Toxic effect of unspecified snake venom, assault, initial encounter",EXT022,"External cause codes: intent of injury, assault",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Poisoning/Bites
T63004A,"Toxic effect of unspecified snake venom, undetermined, initial encounter",EXT012,External cause codes: bites; initial encounter,N,08 Suicidal ideation/attempt/intentional self-harm,Poisoning/Bites
T63004A,"Toxic effect of unspecified snake venom, undetermined, initial encounter",EXT023,"External cause codes: intent of injury, undetermined",N,08 Suicidal ideation/attempt/intentional self-harm,Poisoning/Bites
T63012A,"Toxic effect of rattlesnake venom, intentional self-harm, initial encounter",EXT012,External cause codes: bites; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Poisoning/Bites
T63012A,"Toxic effect of rattlesnake venom, intentional self-harm, initial encounter",EXT021,"External cause codes: intent of injury, self-harm",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Poisoning/Bites
T63013A,"Toxic effect of rattlesnake venom, assault, initial encounter",EXT012,External cause codes: bites; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Poisoning/Bites
T63013A,"Toxic effect of rattlesnake venom, assault, initial encounter",EXT022,"External cause codes: intent of injury, assault",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Poisoning/Bites
T63014A,"Toxic effect of rattlesnake venom, undetermined, initial encounter",EXT012,External cause codes: bites; initial encounter,N,08 Suicidal ideation/attempt/intentional self-harm,Poisoning/Bites
T63014A,"Toxic effect of rattlesnake venom, undetermined, initial encounter",EXT023,"External cause codes: intent of injury, undetermined",N,08 Suicidal ideation/attempt/intentional self-harm,Poisoning/Bites
T63022A,"Toxic effect of coral snake venom, intentional self-harm, initial encounter",EXT012,External cause codes: bites; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Poisoning/Bites
T63022A,"Toxic effect of coral snake venom, intentional self-harm, initial encounter",EXT021,"External cause codes: intent of injury, self-harm",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Poisoning/Bites
T63023A,"Toxic effect of coral snake venom, assault, initial encounter",EXT012,External cause codes: bites; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Poisoning/Bites
T63023A,"Toxic effect of coral snake venom, assault, initial encounter",EXT022,"External cause codes: intent of injury, assault",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Poisoning/Bites
T63024A,"Toxic effect of coral snake venom, undetermined, initial encounter",EXT012,External cause codes: bites; initial encounter,N,08 Suicidal ideation/attempt/intentional self-harm,Poisoning/Bites
T63024A,"Toxic effect of coral snake venom, undetermined, initial encounter",EXT023,"External cause codes: intent of injury, undetermined",N,08 Suicidal ideation/attempt/intentional self-harm,Poisoning/Bites
T63032A,"Toxic effect of taipan venom, intentional self-harm, initial encounter",EXT012,External cause codes: bites; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Poisoning/Bites
T63032A,"Toxic effect of taipan venom, intentional self-harm, initial encounter",EXT021,"External cause codes: intent of injury, self-harm",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Poisoning/Bites
T63033A,"Toxic effect of taipan venom, assault, initial encounter",EXT012,External cause codes: bites; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Poisoning/Bites
T63033A,"Toxic effect of taipan venom, assault, initial encounter",EXT022,"External cause codes: intent of injury, assault",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Poisoning/Bites
T63034A,"Toxic effect of taipan venom, undetermined, initial encounter",EXT012,External cause codes: bites; initial encounter,N,08 Suicidal ideation/attempt/intentional self-harm,Poisoning/Bites
T63034A,"Toxic effect of taipan venom, undetermined, initial encounter",EXT023,"External cause codes: intent of injury, undetermined",N,08 Suicidal ideation/attempt/intentional self-harm,Poisoning/Bites
T63042A,"Toxic effect of cobra venom, intentional self-harm, initial encounter",EXT012,External cause codes: bites; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Poisoning/Bites
T63042A,"Toxic effect of cobra venom, intentional self-harm, initial encounter",EXT021,"External cause codes: intent of injury, self-harm",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Poisoning/Bites
T63043A,"Toxic effect of cobra venom, assault, initial encounter",EXT012,External cause codes: bites; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Poisoning/Bites
T63043A,"Toxic effect of cobra venom, assault, initial encounter",EXT022,"External cause codes: intent of injury, assault",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Poisoning/Bites
T63044A,"Toxic effect of cobra venom, undetermined, initial encounter",EXT012,External cause codes: bites; initial encounter,N,08 Suicidal ideation/attempt/intentional self-harm,Poisoning/Bites
T63044A,"Toxic effect of cobra venom, undetermined, initial encounter",EXT023,"External cause codes: intent of injury, undetermined",N,08 Suicidal ideation/attempt/intentional self-harm,Poisoning/Bites
T63062A,"Toxic effect of venom of other North and South American snake, intentional self-harm, initial encounter",EXT012,External cause codes: bites; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Poisoning/Bites
T63062A,"Toxic effect of venom of other North and South American snake, intentional self-harm, initial encounter",EXT021,"External cause codes: intent of injury, self-harm",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Poisoning/Bites
T63063A,"Toxic effect of venom of other North and South American snake, assault, initial encounter",EXT012,External cause codes: bites; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Poisoning/Bites
T63063A,"Toxic effect of venom of other North and South American snake, assault, initial encounter",EXT022,"External cause codes: intent of injury, assault",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Poisoning/Bites
T63064A,"Toxic effect of venom of other North and South American snake, undetermined, initial encounter",EXT012,External cause codes: bites; initial encounter,N,08 Suicidal ideation/attempt/intentional self-harm,Poisoning/Bites
T63064A,"Toxic effect of venom of other North and South American snake, undetermined, initial encounter",EXT023,"External cause codes: intent of injury, undetermined",N,08 Suicidal ideation/attempt/intentional self-harm,Poisoning/Bites
T63072A,"Toxic effect of venom of other Australian snake, intentional self-harm, initial encounter",EXT012,External cause codes: bites; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Poisoning/Bites
T63072A,"Toxic effect of venom of other Australian snake, intentional self-harm, initial encounter",EXT021,"External cause codes: intent of injury, self-harm",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Poisoning/Bites
T63073A,"Toxic effect of venom of other Australian snake, assault, initial encounter",EXT012,External cause codes: bites; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Poisoning/Bites
T63073A,"Toxic effect of venom of other Australian snake, assault, initial encounter",EXT022,"External cause codes: intent of injury, assault",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Poisoning/Bites
T63074A,"Toxic effect of venom of other Australian snake, undetermined, initial encounter",EXT012,External cause codes: bites; initial encounter,N,08 Suicidal ideation/attempt/intentional self-harm,Poisoning/Bites
T63074A,"Toxic effect of venom of other Australian snake, undetermined, initial encounter",EXT023,"External cause codes: intent of injury, undetermined",N,08 Suicidal ideation/attempt/intentional self-harm,Poisoning/Bites
T63082A,"Toxic effect of venom of other African and Asian snake, intentional self-harm, initial encounter",EXT012,External cause codes: bites; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Poisoning/Bites
T63082A,"Toxic effect of venom of other African and Asian snake, intentional self-harm, initial encounter",EXT021,"External cause codes: intent of injury, self-harm",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Poisoning/Bites
T63083A,"Toxic effect of venom of other African and Asian snake, assault, initial encounter",EXT012,External cause codes: bites; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Poisoning/Bites
T63083A,"Toxic effect of venom of other African and Asian snake, assault, initial encounter",EXT022,"External cause codes: intent of injury, assault",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Poisoning/Bites
T63084A,"Toxic effect of venom of other African and Asian snake, undetermined, initial encounter",EXT012,External cause codes: bites; initial encounter,N,08 Suicidal ideation/attempt/intentional self-harm,Poisoning/Bites
T63084A,"Toxic effect of venom of other African and Asian snake, undetermined, initial encounter",EXT023,"External cause codes: intent of injury, undetermined",N,08 Suicidal ideation/attempt/intentional self-harm,Poisoning/Bites
T63092A,"Toxic effect of venom of other snake, intentional self-harm, initial encounter",EXT012,External cause codes: bites; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Poisoning/Bites
T63092A,"Toxic effect of venom of other snake, intentional self-harm, initial encounter",EXT021,"External cause codes: intent of injury, self-harm",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Poisoning/Bites
T63093A,"Toxic effect of venom of other snake, assault, initial encounter",EXT012,External cause codes: bites; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Poisoning/Bites
T63093A,"Toxic effect of venom of other snake, assault, initial encounter",EXT022,"External cause codes: intent of injury, assault",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Poisoning/Bites
T63094A,"Toxic effect of venom of other snake, undetermined, initial encounter",EXT012,External cause codes: bites; initial encounter,N,08 Suicidal ideation/attempt/intentional self-harm,Poisoning/Bites
T63094A,"Toxic effect of venom of other snake, undetermined, initial encounter",EXT023,"External cause codes: intent of injury, undetermined",N,08 Suicidal ideation/attempt/intentional self-harm,Poisoning/Bites
T63112A,"Toxic effect of venom of gila monster, intentional self-harm, initial encounter",EXT012,External cause codes: bites; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Poisoning/Bites
T63112A,"Toxic effect of venom of gila monster, intentional self-harm, initial encounter",EXT021,"External cause codes: intent of injury, self-harm",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Poisoning/Bites
T63113A,"Toxic effect of venom of gila monster, assault, initial encounter",EXT012,External cause codes: bites; initial encounter,N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Poisoning/Bites
T63113A,"Toxic effect of venom of gila monster, assault, initial encounter",EXT022,"External cause codes: intent of injury, assault",N,12 Only one CCSR category matches the ICD-10-CM codebook chapter,Poisoning/Bites
T63114A,"Toxic effect of venom of gila monster, undetermined, initial encounter",EXT012,External cause codes: bites; initial encounter,N,08 Suicidal ideation/attempt/intentional self-harm,Poisoning/Bites
