ICD-10-CM Code,ICD-10-CM Code Description,CCSR Category,CCSR Category Description,Default CCSR (Y/N/X),Rationale,Comment
DW16B8Z,LDR Brachytherapy of Pelvic Region using Iridium 192,NULL,Radiation therapy,NULL,NULL,NULL
DW16B9Z,LDR Brachytherapy of Pelvic Region using Iodine 125,NULL,Radiation therapy,NULL,NULL,NULL
DW16BBZ,LDR Brachytherapy of Pelvic Region using Palladium 103,NULL,Radiation therapy,NULL,NULL,NULL
DW16BCZ,LDR Brachytherapy of Pelvic Region using Californium 252,NULL,Radiation therapy,NULL,NULL,NULL
DW16BYZ,LDR Brachytherapy of Pelvic Region using Oth Isotope,NULL,Radiation therapy,NULL,NULL,NULL
DW21DZZ,Stereotactic Other Photon Radiosurgery of Head and Neck,NULL,Radiation therapy,NULL,NULL,NULL
DW21HZZ,Stereotactic Particulate Radiosurgery of Head and Neck,NULL,Radiation therapy,NULL,NULL,NULL
DW21JZZ,Stereotactic Gamma Beam Radiosurgery of Head and Neck,NULL,Radiation therapy,NULL,NULL,NULL
DW22DZZ,Stereotactic Other Photon Radiosurgery of Chest,NULL,Radiation therapy,NULL,NULL,NULL
DW22HZZ,Stereotactic Particulate Radiosurgery of Chest,NULL,Radiation therapy,NULL,NULL,NULL
DW22JZZ,Stereotactic Gamma Beam Radiosurgery of Chest,NULL,Radiation therapy,NULL,NULL,NULL
DW23DZZ,Stereotactic Other Photon Radiosurgery of Abdomen,NULL,Radiation therapy,NULL,NULL,NULL
DW23HZZ,Stereotactic Particulate Radiosurgery of Abdomen,NULL,Radiation therapy,NULL,NULL,NULL
DW23JZZ,Stereotactic Gamma Beam Radiosurgery of Abdomen,NULL,Radiation therapy,NULL,NULL,NULL
DW26DZZ,Stereotactic Other Photon Radiosurgery of Pelvic Region,NULL,Radiation therapy,NULL,NULL,NULL
DW26HZZ,Stereotactic Particulate Radiosurgery of Pelvic Region,NULL,Radiation therapy,NULL,NULL,NULL
DW26JZZ,Stereotactic Gamma Beam Radiosurgery of Pelvic Region,NULL,Radiation therapy,NULL,NULL,NULL
DWY17ZZ,Contact Radiation of Head and Neck,NULL,Radiation therapy,NULL,NULL,NULL
DWY18ZZ,Hyperthermia of Head and Neck,NULL,Radiation therapy,NULL,NULL,NULL
DWY1FZZ,Plaque Radiation of Head and Neck,NULL,Radiation therapy,NULL,NULL,NULL
DWY27ZZ,Contact Radiation of Chest,NULL,Radiation therapy,NULL,NULL,NULL
DWY28ZZ,Hyperthermia of Chest,NULL,Radiation therapy,NULL,NULL,NULL
DWY2FZZ,Plaque Radiation of Chest,NULL,Radiation therapy,NULL,NULL,NULL
DWY37ZZ,Contact Radiation of Abdomen,NULL,Radiation therapy,NULL,NULL,NULL
DWY38ZZ,Hyperthermia of Abdomen,NULL,Radiation therapy,NULL,NULL,NULL
DWY3FZZ,Plaque Radiation of Abdomen,NULL,Radiation therapy,NULL,NULL,NULL
DWY47ZZ,Contact Radiation of Hemibody,NULL,Radiation therapy,NULL,NULL,NULL
DWY48ZZ,Hyperthermia of Hemibody,NULL,Radiation therapy,NULL,NULL,NULL
DWY4FZZ,Plaque Radiation of Hemibody,NULL,Radiation therapy,NULL,NULL,NULL
DWY57ZZ,Contact Radiation of Whole Body,NULL,Radiation therapy,NULL,NULL,NULL
DWY58ZZ,Hyperthermia of Whole Body,NULL,Radiation therapy,NULL,NULL,NULL
DWY5FZZ,Plaque Radiation of Whole Body,NULL,Radiation therapy,NULL,NULL,NULL
DWY5GDZ,Isotope Administration to Whole Body using Iodine 131,NULL,Radiation therapy,NULL,NULL,NULL
DWY5GFZ,Isotope Administration to Whole Body using Phosphorus 32,NULL,Radiation therapy,NULL,NULL,NULL
DWY5GGZ,Isotope Administration to Whole Body using Strontium 89,NULL,Radiation therapy,NULL,NULL,NULL
DWY5GHZ,Isotope Administration to Whole Body using Strontium 90,NULL,Radiation therapy,NULL,NULL,NULL
DWY5GYZ,Isotope Administration to Whole Body using Other Isotope,NULL,Radiation therapy,NULL,NULL,NULL
DWY67ZZ,Contact Radiation of Pelvic Region,NULL,Radiation therapy,NULL,NULL,NULL
DWY68ZZ,Hyperthermia of Pelvic Region,NULL,Radiation therapy,NULL,NULL,NULL
DWY6FZZ,Plaque Radiation of Pelvic Region,NULL,Radiation therapy,NULL,NULL,NULL
F01K0FZ,Muscle Perform Assess Musculosk Up Back/UE w Assist Equip,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01K0UZ,Muscle Perform Assess Musculosk Up Back/UE w Prosthesis,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01K0YZ,Muscle Perform Assess Musculosk Up Back/UE w Oth Equip,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01K0ZZ,Muscle Performance Assessment of Musculosk Up Back/UE,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01K1ZZ,Integumentary Integrity Assessment of Musculosk Up Back/UE,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01K5YZ,ROM/Jt Integrity Assess Musculosk Up Back/UE w Oth Equip,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01K5ZZ,ROM/Jt Integrity Assessment of Musculosk Up Back/UE,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01K6YZ,Sensory/Processing Assess Musculosk Up Back/UE w Oth Equip,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01K6ZZ,Sensory/Processing Assessment of Musculosk Up Back/UE,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01L0EZ,Muscle Perform Assess Musculosk Low Back/LE w Orthosis,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01L0FZ,Muscle Perform Assess Musculosk Low Back/LE w Assist Equip,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01L0UZ,Muscle Perform Assess Musculosk Low Back/LE w Prosthesis,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01L0YZ,Muscle Perform Assess Musculosk Low Back/LE w Oth Equip,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01L0ZZ,Muscle Performance Assessment of Musculosk Low Back/LE,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01L1ZZ,Integumentary Integrity Assessment of Musculosk Low Back/LE,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01L5YZ,ROM/Jt Integrity Assess Musculosk Low Back/LE w Oth Equip,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01L5ZZ,ROM/Jt Integrity Assessment of Musculosk Low Back/LE,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01L6YZ,Sensory/Processing Assess Musculosk Low Back/LE w Oth Equip,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01L6ZZ,Sensory/Processing Assessment of Musculosk Low Back/LE,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01M0EZ,Muscle Perform Assessment of Musculosk Whole using Orthosis,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01M0FZ,Muscle Perform Assess Musculosk Whole w Assist Equip,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01M0UZ,Muscle Perform Assess Musculosk Whole w Prosthesis,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01M0YZ,Muscle Perform Assessment of Musculosk Whole using Oth Equip,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01M0ZZ,Muscle Performance Assessment of Musculosk Whole,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01M1ZZ,Integumentary Integrity Assessment of Musculosk Whole,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01M5YZ,ROM/Jt Integrity Assess Musculosk Whole w Oth Equip,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01M5ZZ,ROM/Jt Integrity Assessment of Musculosk Whole,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01M6YZ,Sensory/Processing Assess Musculosk Whole w Oth Equip,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01M6ZZ,Sensory/Processing Assessment of Musculosk Whole,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01N0EZ,Muscle Performance Assessment of GU Sys using Orthosis,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01N0FZ,Muscle Perform Assessment of GU Sys using Assist Equipment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01N0UZ,Muscle Performance Assessment of GU Sys using Prosthesis,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01N0YZ,Muscle Performance Assessment of GU Sys using Oth Equip,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01N0ZZ,Muscle Performance Assessment of Genitourinary System,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01Z2KZ,Visual Motor Integration Assessment using AV Equipment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01Z2MZ,Visual Motor Integrat Assess w Augment Comm Equip,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01Z2NZ,Visual Motor Integrat Assess w Biosensory Feedback Equip,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01Z2PZ,Visual Motor Integration Assessment using Computer,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01Z2QZ,Visual Motor Integrat Assess w Speech Analysis Equip,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01Z2SZ,Visual Motor Integrat Assess w Voice Analysis Equip,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01Z2YZ,Visual Motor Integration Assessment using Other Equipment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01Z2ZZ,Visual Motor Integration Assessment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01Z77Z,Facial Nerve Funct Assess w Electrophysiologic Equip,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01Z9JZ,Somatosens Evoked Potentials Assess w Somatosensory Equip,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01ZBEZ,Bed Mobility Assessment using Orthosis,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01ZBFZ,Bed Mobility Assessment using Assist Equipment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01ZBUZ,Bed Mobility Assessment using Prosthesis,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01ZBZZ,Bed Mobility Assessment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01ZCEZ,Transfer Assessment using Orthosis,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01ZCFZ,Transfer Assessment using Assist Equipment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01ZCUZ,Transfer Assessment using Prosthesis,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01ZCZZ,Transfer Assessment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01ZDEZ,Gait and/or Balance Assessment using Orthosis,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01ZDFZ,Gait and/or Balance Assessment using Assist Equipment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01ZDUZ,Gait and/or Balance Assessment using Prosthesis,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01ZDYZ,Gait and/or Balance Assessment using Other Equipment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01ZDZZ,Gait and/or Balance Assessment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01ZFEZ,Wheelchair Mobility Assessment using Orthosis,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01ZFFZ,Wheelchair Mobility Assessment using Assist Equipment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01ZFUZ,Wheelchair Mobility Assessment using Prosthesis,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F01ZFZZ,Wheelchair Mobility Assessment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F0209YZ,"Cranial Nrv Integrity Assess Neuro Head, Neck w Oth Equip",NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F0209ZZ,"Cranial Nerve Integrity Assessment of Neuro Head, Neck",NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F020DYZ,"Neuromotor Develop Assess Neuro Head, Neck w Oth Equip",NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F020DZZ,"Neuromotor Development Assessment of Neuro Head, Neck",NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F021DYZ,Neuromotor Develop Assess Neuro Up Back/UE w Oth Equip,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F021DZZ,Neuromotor Development Assessment of Neuro Up Back/UE,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F022DYZ,Neuromotor Develop Assess Neuro Low Back/LE w Oth Equip,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F022DZZ,Neuromotor Development Assessment of Neuro Low Back/LE,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F023DYZ,Neuromotor Develop Assessment of Neuro Body using Oth Equip,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F023DZZ,Neuromotor Development Assessment of Neuro Body,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F024GCZ,"Ventil, Resp/Circ Assess Circ Head, Neck w Mech Equip",NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F024GGZ,"Ventil, Resp/Circ Assess Circ Head, Neck w Aerobic Equip",NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F024GYZ,"Ventil, Resp/Circ Assess Circ Head, Neck w Oth Equip",NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F024GZZ,"Ventil, Resp/Circ Assessment of Circ Head, Neck",NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F025GCZ,"Ventil, Resp/Circ Assess Circ Up Back/UE w Mech Equip",NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F025GGZ,"Ventil, Resp/Circ Assess Circ Up Back/UE w Aerobic Equip",NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F025GYZ,"Ventil, Resp/Circ Assess Circ Up Back/UE w Oth Equip",NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F025GZZ,"Ventil, Resp/Circ Assessment of Circ Up Back/UE",NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F026GCZ,"Ventil, Resp/Circ Assess Circ Low Back/LE w Mech Equip",NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F026GGZ,"Ventil, Resp/Circ Assess Circ Low Back/LE w Aerobic Equip",NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F026GYZ,"Ventil, Resp/Circ Assess Circ Low Back/LE w Oth Equip",NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F026GZZ,"Ventil, Resp/Circ Assessment of Circ Low Back/LE",NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F0277EZ,Aerobic Cap/Endur Assessment of Circ Body using Orthosis,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F0277GZ,Aerobic Cap/Endur Assess Circ Body w Aerobic Equip,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F0277UZ,Aerobic Cap/Endur Assessment of Circ Body using Prosthesis,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F0277YZ,Aerobic Cap/Endur Assessment of Circ Body using Oth Equip,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F0277ZZ,Aerobic Capacity and Endurance Assessment of Circ Body,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F027GCZ,"Ventil, Resp/Circ Assess Circ Body w Mech Equip",NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F027GGZ,"Ventil, Resp/Circ Assess Circ Body w Aerobic Equip",NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F027GYZ,"Ventil, Resp/Circ Assessment of Circ Body using Oth Equip",NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F027GZZ,"Ventil, Resp/Circ Assessment of Circ Body",NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F028GCZ,"Ventil, Resp/Circ Assess Resp Head, Neck w Mech Equip",NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F028GGZ,"Ventil, Resp/Circ Assess Resp Head, Neck w Aerobic Equip",NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F028GYZ,"Ventil, Resp/Circ Assess Resp Head, Neck w Oth Equip",NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F028GZZ,"Ventil, Resp/Circ Assessment of Resp Head, Neck",NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F029GCZ,"Ventil, Resp/Circ Assess Resp Up Back/UE w Mech Equip",NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F029GGZ,"Ventil, Resp/Circ Assess Resp Up Back/UE w Aerobic Equip",NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F029GYZ,"Ventil, Resp/Circ Assess Resp Up Back/UE w Oth Equip",NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F029GZZ,"Ventil, Resp/Circ Assessment of Resp Up Back/UE",NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02BGCZ,"Ventil, Resp/Circ Assess Resp Low Back/LE w Mech Equip",NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02BGGZ,"Ventil, Resp/Circ Assess Resp Low Back/LE w Aerobic Equip",NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02BGYZ,"Ventil, Resp/Circ Assess Resp Low Back/LE w Oth Equip",NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02BGZZ,"Ventil, Resp/Circ Assessment of Resp Low Back/LE",NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02C7EZ,Aerobic Cap/Endur Assessment of Resp Body using Orthosis,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02C7GZ,Aerobic Cap/Endur Assess Resp Body w Aerobic Equip,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02C7UZ,Aerobic Cap/Endur Assessment of Resp Body using Prosthesis,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02C7YZ,Aerobic Cap/Endur Assessment of Resp Body using Oth Equip,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02C7ZZ,Aerobic Capacity and Endurance Assessment of Resp Body,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02CGCZ,"Ventil, Resp/Circ Assess Resp Body w Mech Equip",NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02CGGZ,"Ventil, Resp/Circ Assess Resp Body w Aerobic Equip",NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02CGYZ,"Ventil, Resp/Circ Assessment of Resp Body using Oth Equip",NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02CGZZ,"Ventil, Resp/Circ Assessment of Resp Body",NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02Z0EZ,Bathing/Showering Assessment using Orthosis,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02Z0FZ,Bathing/Showering Assessment using Assist Equipment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02Z0UZ,Bathing/Showering Assessment using Prosthesis,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02Z0ZZ,Bathing/Showering Assessment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02Z1EZ,Dressing Assessment using Orthosis,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02Z1FZ,Dressing Assessment using Assist Equipment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02Z1UZ,Dressing Assessment using Prosthesis,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02Z1ZZ,Dressing Assessment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02Z2YZ,Feeding/Eating Assessment using Other Equipment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02Z2ZZ,Feeding/Eating Assessment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02Z3EZ,Grooming/Personal Hygiene Assessment using Orthosis,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02Z3FZ,Grooming/Personal Hygiene Assessment using Assist Equipment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02Z3UZ,Grooming/Personal Hygiene Assessment using Prosthesis,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02Z3ZZ,Grooming/Personal Hygiene Assessment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02Z4EZ,Home Management Assessment using Orthosis,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02Z4FZ,Home Management Assessment using Assist Equipment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02Z4UZ,Home Management Assessment using Prosthesis,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02Z4ZZ,Home Management Assessment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02Z5KZ,Perceptual Processing Assessment using Audiovisual Equipment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02Z5MZ,Perceptual Process Assessment using Augment Comm Equipment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02Z5NZ,Perceptual Process Assess w Biosensory Feedback Equip,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02Z5PZ,Perceptual Processing Assessment using Computer,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02Z5QZ,Perceptual Process Assess w Speech Analysis Equip,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02Z5SZ,Perceptual Process Assessment using Voice Analysis Equipment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02Z5YZ,Perceptual Processing Assessment using Other Equipment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02Z5ZZ,Perceptual Processing Assessment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02Z6ZZ,Psychosocial Skills Assessment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02Z8YZ,Anthropometric Characteristics Assessment using Oth Equip,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02Z8ZZ,Anthropometric Characteristics Assessment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02ZBEZ,Environment Barriers Assessment using Orthosis,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02ZBFZ,Environment Barriers Assessment using Assist Equipment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02ZBUZ,Environment Barriers Assessment using Prosthesis,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02ZBYZ,Environment Barriers Assessment using Oth Equip,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02ZBZZ,"Environmental, Home and Work Barriers Assessment",NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02ZCEZ,Ergonomics and Body Mechanics Assessment using Orthosis,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02ZCFZ,Ergonom/Body Mech Assessment using Assist Equipment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02ZCUZ,Ergonomics and Body Mechanics Assessment using Prosthesis,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02ZCYZ,Ergonomics and Body Mechanics Assessment using Oth Equip,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02ZCZZ,Ergonomics and Body Mechanics Assessment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02ZFYZ,Pain Assessment using Other Equipment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02ZFZZ,Pain Assessment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02ZHEZ,Vocation Activ/Commun Assessment using Orthosis,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02ZHFZ,Vocation Activ/Commun Assessment using Assist Equipment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02ZHGZ,Vocation Activ/Commun Assessment using Aerobic Equipment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02ZHUZ,Vocation Activ/Commun Assessment using Prosthesis,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02ZHYZ,Vocation Activ/Commun Assessment using Oth Equip,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F02ZHZZ,Vocation Activ/Commun Assessment,NULL,Diagnostic physical therapy,NULL,NULL,Rehabilitation care;
F0636KZ,Comm/Cognit Skill Treatment of Neuro Body using AV Equipment,NULL,Other physical therapy and rehabilitation,NULL,NULL,Rehabilitation care;
F0636MZ,Comm/Cognit Skill Trmt Neuro Body w Augment Comm Equip,NULL,Other physical therapy and rehabilitation,NULL,NULL,Rehabilitation care;
F0636PZ,Comm/Cognit Skill Treatment of Neuro Body using Computer,NULL,Other physical therapy and rehabilitation,NULL,NULL,Rehabilitation care;
F0636YZ,Comm/Cognit Skill Treatment of Neuro Body using Oth Equip,NULL,Other physical therapy and rehabilitation,NULL,NULL,Rehabilitation care;
F0636ZZ,Comm/Cognit Skill Treatment of Neuro Body,NULL,Other physical therapy and rehabilitation,NULL,NULL,Rehabilitation care;
F06Z0KZ,Nonspoken Language Treatment using Audiovisual Equipment,NULL,Other physical therapy and rehabilitation,NULL,NULL,Rehabilitation care;
F06Z0MZ,Nonspoken Language Treatment using Augment Comm Equipment,NULL,Other physical therapy and rehabilitation,NULL,NULL,Rehabilitation care;
F06Z0PZ,Nonspoken Language Treatment using Computer,NULL,Other physical therapy and rehabilitation,NULL,NULL,Rehabilitation care;
F06Z0YZ,Nonspoken Language Treatment using Other Equipment,NULL,Other physical therapy and rehabilitation,NULL,NULL,Rehabilitation care;
F06Z0ZZ,Nonspoken Language Treatment,NULL,Other physical therapy and rehabilitation,NULL,NULL,Rehabilitation care;
F06Z1KZ,Speech Path Counsel Treatment using AV Equipment,NULL,Other physical therapy and rehabilitation,NULL,NULL,Rehabilitation care;
F06Z1ZZ,Speech Path Counsel Treatment,NULL,Other physical therapy and rehabilitation,NULL,NULL,Rehabilitation care;
F06Z2KZ,Speech Path Prevent Treatment using AV Equipment,NULL,Other physical therapy and rehabilitation,NULL,NULL,Rehabilitation care;
F06Z2ZZ,Speech Path Prevent Treatment,NULL,Other physical therapy and rehabilitation,NULL,NULL,Rehabilitation care;
F06Z3KZ,Aphasia Treatment using Audiovisual Equipment,NULL,Other physical therapy and rehabilitation,NULL,NULL,Rehabilitation care;
F06Z3MZ,Aphasia Treatment using Augment Comm Equipment,NULL,Other physical therapy and rehabilitation,NULL,NULL,Rehabilitation care;
